    15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
   44   10    8  3.1E-11  3.1E-11  3.3E-11  3.5E-11  3.7E-11  4.2E-11  4.7E-11  5.6E-11
   45   10    9  8.0E-12  6.7E-12  4.2E-12  3.1E-12  2.5E-12  2.0E-12  1.9E-12  1.9E-12
   46   11    1  2.4E-13  2.4E-13  2.5E-13  2.8E-13  3.2E-13  4.1E-13  5.1E-13  7.4E-13
   47   11    2  3.3E-12  3.4E-12  3.7E-12  4.1E-12  4.6E-12  5.7E-12  6.9E-12  9.2E-12
   48   11    3  4.8E-12  4.9E-12  5.1E-12  5.4E-12  5.7E-12  6.2E-12  6.7E-12  7.5E-12
   49   11    4  5.4E-12  5.3E-12  5.2E-12  5.4E-12  5.7E-12  6.3E-12  7.0E-12  8.4E-12
   50   11    5  2.3E-12  1.9E-12  1.7E-12  1.7E-12  1.8E-12  2.2E-12  2.7E-12  3.7E-12
   51   11    6  2.4E-12  2.3E-12  2.4E-12  2.7E-12  3.1E-12  3.9E-12  4.9E-12  6.8E-12
   52   11    7  3.1E-11  3.1E-11  3.2E-11  3.4E-11  3.7E-11  4.2E-11  4.7E-11  5.6E-11
   53   11    8  6.4E-12  6.4E-12  6.4E-12  6.4E-12  6.6E-12  7.1E-12  7.7E-12  9.0E-12
   54   11    9  3.3E-11  3.3E-11  3.4E-11  3.6E-11  3.7E-11  4.1E-11  4.5E-11  5.1E-11
   55   11   10  5.4E-11  5.3E-11  5.3E-11  5.3E-11  5.4E-11  5.7E-11  6.0E-11  6.7E-11
   56   12    1  1.5E-14  1.0E-14  6.0E-15  4.7E-15  4.2E-15  4.2E-15  4.6E-15  6.2E-15
   57   12    2  1.7E-12  1.7E-12  1.8E-12  2.0E-12  2.2E-12  2.8E-12  3.4E-12  4.6E-12
   58   12    3  5.0E-13  4.8E-13  5.0E-13  5.8E-13  6.8E-13  9.5E-13  1.3E-12  2.1E-12
   59   12    4  2.0E-11  2.0E-11  2.1E-11  2.2E-11  2.3E-11  2.6E-11  2.9E-11  3.5E-11
   60   12    5  3.7E-12  3.6E-12  3.7E-12  4.1E-12  4.7E-12  5.9E-12  7.3E-12  1.0E-11
   61   12    6  1.5E-12  1.5E-12  1.6E-12  1.8E-12  2.0E-12  2.5E-12  3.1E-12  4.2E-12
   62   12    7  1.5E-11  1.4E-11  1.4E-11  1.5E-11  1.5E-11  1.7E-11  1.8E-11  2.1E-11
   63   12    8  7.1E-12  6.9E-12  7.0E-12  7.6E-12  8.4E-12  1.0E-11  1.3E-11  1.7E-11
   64   12    9  5.3E-13  5.2E-13  5.8E-13  7.0E-13  8.8E-13  1.3E-12  1.9E-12  3.5E-12
   65   12   10  6.6E-12  5.8E-12  5.0E-12  4.9E-12  5.2E-12  5.8E-12  6.6E-12  8.0E-12
   66   12   11  2.4E-12  2.4E-12  2.6E-12  3.1E-12  3.6E-12  4.9E-12  6.4E-12  9.6E-12
   67   13    1  6.8E-13  6.8E-13  7.1E-13  7.9E-13  8.8E-13  1.1E-12  1.3E-12  1.8E-12
   68   13    2  1.9E-13  1.7E-13  1.7E-13  1.8E-13  2.1E-13  2.8E-13  3.8E-13  6.0E-13
   69   13    3  2.0E-12  2.0E-12  2.1E-12  2.3E-12  2.6E-12  3.2E-12  3.9E-12  5.3E-12
   70   13    4  3.7E-12  3.5E-12  3.7E-12  4.1E-12  4.6E-12  5.9E-12  7.3E-12  1.0E-11
   71   13    5  2.0E-11  2.0E-11  2.1E-11  2.2E-11  2.3E-11  2.6E-11  2.9E-11  3.5E-11
   72   13    6  6.6E-13  6.5E-13  7.1E-13  8.4E-13  1.0E-12  1.5E-12  2.0E-12  3.4E-12
   73   13    7  7.2E-12  6.9E-12  7.0E-12  7.6E-12  8.4E-12  1.0E-11  1.3E-11  1.7E-11
   74   13    8  1.5E-11  1.4E-11  1.4E-11  1.5E-11  1.5E-11  1.7E-11  1.8E-11  2.1E-11
   75   13    9  7.3E-13  7.2E-13  7.8E-13  9.0E-13  1.0E-12  1.4E-12  1.8E-12  2.6E-12
   76   13   10  2.5E-12  2.5E-12  2.7E-12  3.1E-12  3.6E-12  4.9E-12  6.4E-12  9.6E-12
