         20.0     40.0     70.0    100.0    150.0    200.0    250.0    300.0
   11  1 3.18E-14 3.22E-14 3.96E-14 6.59E-14 1.60E-13 3.09E-13 4.92E-13 6.91E-13
   11  2 6.11E-14 7.85E-14 1.16E-13 2.00E-13 4.52E-13 8.03E-13 1.20E-12 1.61E-12
   11  3 2.33E-13 3.09E-13 5.21E-13 8.99E-13 1.81E-12 2.91E-12 4.08E-12 5.23E-12
   11  4 3.27E-13 4.01E-13 6.18E-13 9.73E-13 1.75E-12 2.64E-12 3.54E-12 4.41E-12
   11  5 2.19E-12 3.15E-12 4.81E-12 6.72E-12 9.93E-12 1.29E-11 1.54E-11 1.77E-11
   11  6 9.42E-13 1.04E-12 1.39E-12 1.96E-12 3.11E-12 4.30E-12 5.43E-12 6.49E-12
   11  7 1.38E-11 1.83E-11 2.34E-11 2.79E-11 3.38E-11 3.82E-11 4.16E-11 4.44E-11
   11  8 3.34E-12 3.69E-12 4.38E-12 5.30E-12 6.89E-12 8.36E-12 9.69E-12 1.09E-11
   11  9 8.20E-11 9.64E-11 1.03E-10 1.07E-10 1.13E-10 1.16E-10 1.19E-10 1.22E-10
   11 10 1.34E-11 1.79E-11 1.97E-11 2.03E-11 2.08E-11 2.14E-11 2.20E-11 2.26E-11
   12  1 1.07E-14 1.39E-14 1.87E-14 3.06E-14 7.42E-14 1.47E-13 2.41E-13 3.47E-13
   12  2 8.51E-14 8.81E-14 9.74E-14 1.39E-13 3.00E-13 5.71E-13 9.23E-13 1.32E-12
   12  3 1.08E-13 1.31E-13 1.84E-13 2.96E-13 6.14E-13 1.06E-12 1.56E-12 2.10E-12
   12  4 2.82E-13 3.86E-13 6.52E-13 1.10E-12 2.13E-12 3.36E-12 4.63E-12 5.87E-12
   12  5 3.73E-13 4.61E-13 7.13E-13 1.11E-12 1.96E-12 2.91E-12 3.85E-12 4.76E-12
   12  6 2.74E-12 3.82E-12 5.61E-12 7.63E-12 1.10E-11 1.40E-11 1.66E-11 1.89E-11
   12  7 1.09E-12 1.18E-12 1.53E-12 2.12E-12 3.30E-12 4.52E-12 5.66E-12 6.72E-12
   12  8 1.64E-11 2.08E-11 2.58E-11 3.02E-11 3.59E-11 4.02E-11 4.35E-11 4.62E-11
   12  9 3.90E-12 4.13E-12 4.69E-12 5.54E-12 7.08E-12 8.52E-12 9.83E-12 1.10E-11
   12 10 9.26E-11 1.04E-10 1.08E-10 1.11E-10 1.15E-10 1.18E-10 1.21E-10 1.23E-10
   12 11 1.17E-11 1.60E-11 1.82E-11 1.91E-11 2.00E-11 2.07E-11 2.14E-11 2.22E-11
