 209   14  -2    194.1878001
 210   14   1    176.5941872
 211   14   0    167.8609455
 212   14  -1    179.4755577
 213   14   2    194.3227154
 214   14   3    202.7522114
 215   14   4    224.0306677
 216   14   5    264.1370876
 217   14  -6    303.1743843
 218   14  -7    338.7010829
 219   14  -8    391.8686159
 220   14  -9    459.9819383
 221   14 -10    521.6068816
 222   14 -11    586.4417451
 223   14 -12    671.2809041
 224   14 -13    764.9972834
 225   14 -14    850.6420429
 226   15  15    970.9823937
 227   15  14    874.6410023
 228   15  13    788.9972993
 229   15  12    695.2813445
 230   15  11    610.4405255
 231   15  10    545.6054967
 232   15   9    483.9822053
 233   15   8    415.8703170
 234   15   7    362.7007959
 235   15   6    327.1729957
 236   15  -5    288.1399530
 237   15   4    248.0421256
 238   15  -3    226.7685151
 239   15  -2    218.1672694
 240   15  -1    203.6599954
 241   15   0    191.8183860
 242   15   1    200.3696199
 243   15   2    218.3434212
 244   15   3    226.7574826
 245   15  -4    248.0418778
 246   15   5    288.1399522
 247   15  -6    327.1729957
 248   15  -7    362.7007959
 249   15  -8    415.8703170
 250   15  -9    483.9822053
 251   15 -10    545.6054967
 252   15 -11    610.4405255
 253   15 -12    695.2813445
 254   15 -13    788.9972993
 255   15 -14    874.6410023
 256   15 -15    970.9823937
