50
  1     3    1      1.380E-01	  2509.95240   120.5  
  2     4    2      1.388E-01	  2514.31168   120.7
  3     9    3      5.202E-01	  3543.78669   290.5
  4    10    4      5.235E-01	  3551.19156   291.2
  5    13    9      1.267E+00	  4592.49068   510.9
  6    14   10      1.276E+00	  4602.86350   512.1
  7    17   13      2.501E+00	  5650.33835   782.1
  8    18   14      2.519E+00	  5663.52922   783.9
  9     7    5      6.450E-02	  1834.75982   269.8
 10     8    6      6.483E-02	  1839.04685   270.2
 11    11    7      3.530E-01	  3036.26804   415.5
 12    12    8      3.531E-01	  3035.42862   415.9
 13    15   11      1.014E+00	  4212.29389   617.6
 14    16   12      1.012E+00	  4209.65572   617.9
 15    20   15      2.182E+00	  5363.88666   875.1
 16    19   16      2.175E+00	  5358.22058   875.1
 17     5    1      3.598E-02	  3786.25883   181.7
 18     6    2      3.606E-02	  3789.29902   181.9
 19     7    3      9.250E-03	  3111.06625   269.8
 20     8    4      9.270E-03	  3114.03420   270.2
 21    11    9      2.850E-03	  2603.54760   415.5
 22    12   10      2.830E-03	  2598.27125   415.9
 23    15   13      1.090E-03	  2223.35081   617.6
 24    16   14      1.060E-03	  2205.06347   617.9
 25    20   17      4.350E-04	  1936.89911   875.1
 26    19   18      4.110E-04	  1899.75483   875.1
 27     8    1      5.500E-02	  5630.01242   270.2
 28     7    2      5.470E-02	  5619.35210   269.8
 29    12    3      5.660E-02	  6155.48864   415.9
 30    11    4      5.620E-02	  6141.30846   415.5
 31    16    9      6.480E-02	  6821.35767   617.9
 32    15   10      6.430E-02	  6802.41079   617.6
 33    19   13      7.350E-02	  7587.08757   875.1
 34    20   14      7.280E-02	  7563.43394   875.1
 35    11    1      1.750E-02	  8657.28669   415.5
 36    12    2      1.750E-02	  8663.77449   415.9
 37    15    3      3.150E-02	 10359.62818   617.6
 38    16    4      3.150E-02	 10359.11853   617.9
 39    20    9      4.090E-02	 12179.72815   875.1
 40    19   10      4.080E-02	 12166.14755   875.1
 41     2    1      8.632E-11	     1.66655     0.1
 42     4    3      1.660E-09	     6.02583   120.7
 43    10    9      9.604E-09	    13.43070   291.2
 44    14   13      3.215E-08	    23.80352   512.1
 45    18   17      7.910E-08	    36.99439   783.9
 46     6    5      1.156E-09	     4.70674   181.9
 47     8    7      1.160E-09	     8.99377   270.2
 48    12   11      6.605E-10	     8.15435   415.9
 49    16   15      1.298E-10	     5.51618   617.9
 50    20   19      2.485E-15	     0.14990   875.1
