 15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
   44   10    8  1.2E-11  1.3E-11  1.5E-11  1.6E-11  1.8E-11  2.0E-11  2.2E-11  2.5E-11
   45   10    9  1.7E-11  1.7E-11  1.7E-11  1.7E-11  1.7E-11  1.8E-11  1.8E-11  2.0E-11
   46   11    1  1.9E-11  1.9E-11  1.9E-11  2.0E-11  2.0E-11  2.1E-11  2.2E-11  2.4E-11
   47   11    2  1.6E-12  1.5E-12  1.4E-12  1.5E-12  1.6E-12  1.9E-12  2.3E-12  3.1E-12
   48   11    3  1.6E-12  1.6E-12  1.7E-12  1.9E-12  2.1E-12  2.6E-12  3.1E-12  4.1E-12
   49   11    4  6.5E-14  6.2E-14  5.1E-14  4.1E-14  3.4E-14  2.8E-14  2.5E-14  2.7E-14
   50   11    5  1.9E-11  1.9E-11  1.9E-11  2.0E-11  2.0E-11  2.2E-11  2.3E-11  2.5E-11
   51   11    6  4.0E-12  3.8E-12  3.8E-12  4.1E-12  4.6E-12  5.7E-12  7.0E-12  9.8E-12
   52   11    7  8.6E-13  9.1E-13  1.0E-12  1.2E-12  1.3E-12  1.7E-12  2.2E-12  3.0E-12
   53   11    8  2.3E-13  2.7E-13  3.0E-13  3.2E-13  3.7E-13  5.4E-13  7.8E-13  1.4E-12
   54   11    9  8.7E-12  8.8E-12  9.4E-12  1.0E-11  1.1E-11  1.2E-11  1.4E-11  1.6E-11
   55   11   10  3.1E-12  3.1E-12  3.5E-12  4.0E-12  4.7E-12  6.4E-12  8.4E-12  1.3E-11
   56   12    1  1.6E-12  1.5E-12  1.4E-12  1.5E-12  1.6E-12  1.9E-12  2.3E-12  3.1E-12
   57   12    2  1.9E-11  1.9E-11  1.9E-11  2.0E-11  2.0E-11  2.1E-11  2.2E-11  2.4E-11
   58   12    3  6.5E-14  6.2E-14  5.1E-14  4.1E-14  3.4E-14  2.8E-14  2.5E-14  2.7E-14
   59   12    4  1.6E-12  1.6E-12  1.7E-12  1.9E-12  2.1E-12  2.6E-12  3.1E-12  4.1E-12
   60   12    5  4.0E-12  3.8E-12  3.8E-12  4.1E-12  4.6E-12  5.7E-12  7.0E-12  9.8E-12
   61   12    6  1.9E-11  1.9E-11  1.9E-11  2.0E-11  2.0E-11  2.2E-11  2.3E-11  2.5E-11
   62   12    7  2.3E-13  2.7E-13  3.0E-13  3.2E-13  3.7E-13  5.4E-13  7.8E-13  1.4E-12
   63   12    8  8.6E-13  9.1E-13  1.0E-12  1.2E-12  1.3E-12  1.7E-12  2.2E-12  3.0E-12
   64   12    9  3.1E-12  3.1E-12  3.5E-12  4.0E-12  4.7E-12  6.4E-12  8.4E-12  1.3E-11
   65   12   10  8.7E-12  8.8E-12  9.4E-12  1.0E-11  1.1E-11  1.2E-11  1.4E-11  1.6E-11
   66   12   11  1.3E-10  1.3E-10  1.3E-10  1.3E-10  1.3E-10  1.4E-10  1.6E-10  1.8E-10
   67   13    1  9.9E-13  9.5E-13  9.5E-13  9.8E-13  1.0E-12  1.2E-12  1.3E-12  1.6E-12
   68   13    2  2.1E-12  2.1E-12  2.2E-12  2.4E-12  2.7E-12  3.4E-12  4.1E-12  5.6E-12
   69   13    3  2.7E-12  2.4E-12  2.1E-12  2.0E-12  2.1E-12  2.4E-12  2.8E-12  3.5E-12
   70   13    4  7.2E-12  6.9E-12  6.5E-12  6.5E-12  6.6E-12  6.9E-12  7.1E-12  7.7E-12
   71   13    5  6.7E-12  6.4E-12  6.3E-12  6.4E-12  6.6E-12  7.0E-12  7.4E-12  8.0E-12
   72   13    6  3.1E-12  3.0E-12  3.2E-12  3.6E-12  4.1E-12  5.3E-12  6.6E-12  9.3E-12
   73   13    7  8.5E-12  7.7E-12  6.9E-12  6.6E-12  6.4E-12  6.2E-12  6.2E-12  6.4E-12
   74   13    8  3.7E-11  3.6E-11  3.7E-11  3.9E-11  4.2E-11  4.7E-11  5.2E-11  6.2E-11
   75   13    9  1.7E-11  1.6E-11  1.6E-11  1.6E-11  1.7E-11  1.9E-11  2.0E-11  2.3E-11
   76   13   10  6.5E-12  3.5E-12  1.7E-12  1.4E-12  1.2E-12  1.3E-12  1.5E-12  2.1E-12
   77   13   11  1.2E-12  8.6E-13  7.0E-13  7.4E-13  8.3E-13  1.1E-12  1.4E-12  2.0E-12
   78   13   12  4.1E-13  3.2E-13  3.2E-13  4.0E-13  5.0E-13  7.9E-13  1.2E-12  2.3E-12
   79   14    1  2.1E-12  2.1E-12  2.2E-12  2.4E-12  2.7E-12  3.4E-12  4.1E-12  5.6E-12
   80   14    2  9.9E-13  9.5E-13  9.5E-13  9.8E-13  1.0E-12  1.2E-12  1.3E-12  1.6E-12
   81   14    3  7.2E-12  6.9E-12  6.5E-12  6.5E-12  6.6E-12  6.9E-12  7.1E-12  7.7E-12
   82   14    4  2.7E-12  2.4E-12  2.1E-12  2.0E-12  2.1E-12  2.4E-12  2.8E-12  3.5E-12
   83   14    5  3.1E-12  3.0E-12  3.2E-12  3.6E-12  4.1E-12  5.3E-12  6.6E-12  9.3E-12
   84   14    6  6.7E-12  6.4E-12  6.3E-12  6.4E-12  6.6E-12  7.0E-12  7.4E-12  8.0E-12
   85   14    7  3.7E-11  3.6E-11  3.7E-11  3.9E-11  4.2E-11  4.7E-11  5.2E-11  6.2E-11
   86   14    8  8.5E-12  7.7E-12  6.9E-12  6.6E-12  6.4E-12  6.2E-12  6.2E-12  6.4E-12
   87   14    9  6.5E-12  3.5E-12  1.7E-12  1.4E-12  1.2E-12  1.3E-12  1.5E-12  2.1E-12
   88   14   10  1.7E-11  1.6E-11  1.6E-11  1.6E-11  1.7E-11  1.9E-11  2.0E-11  2.3E-11
   89   14   11  4.1E-13  3.2E-13  3.2E-13  4.0E-13  5.0E-13  7.9E-13  1.2E-12  2.3E-12
   90   14   12  1.2E-12  8.6E-13  7.0E-13  7.4E-13  8.3E-13  1.1E-12  1.4E-12  2.0E-12
   91   14   13  3.9E-11  3.8E-11  3.7E-11  3.7E-11  3.7E-11  4.0E-11  4.2E-11  4.7E-11
   92   15    1  2.5E-13  2.6E-13  2.8E-13  3.1E-13  3.5E-13  4.5E-13  5.7E-13  8.3E-13
   93   15    2  2.3E-12  2.3E-12  2.4E-12  2.5E-12  2.6E-12  2.8E-12  2.9E-12  3.2E-12
   94   15    3  1.6E-12  1.6E-12  1.7E-12  1.7E-12  1.8E-12  2.0E-12  2.2E-12  2.6E-12
   95   15    4  2.0E-12  2.1E-12  2.3E-12  2.5E-12  2.9E-12  3.7E-12  4.6E-12  6.4E-12
   96   15    5  2.2E-12  2.3E-12  2.6E-12  2.8E-12  3.0E-12  3.4E-12  3.9E-12  4.8E-12
   97   15    6  3.1E-12  3.2E-12  3.2E-12  3.3E-12  3.3E-12  3.5E-12  3.7E-12  4.2E-12
   98   15    7  8.5E-12  8.6E-12  8.8E-12  9.1E-12  9.4E-12  1.0E-11  1.1E-11  1.2E-11
   99   15    8  2.4E-12  2.5E-12  2.9E-12  3.4E-12  4.0E-12  5.3E-12  6.7E-12  9.8E-12
  100   15    9  2.5E-12  2.5E-12  2.5E-12  2.4E-12  2.4E-12  2.4E-12  2.5E-12  2.9E-12
  101   15   10  4.2E-11  4.4E-11  4.6E-11  4.9E-11  5.2E-11  5.8E-11  6.4E-11  7.6E-11
  102   15   11  5.0E-12  5.0E-12  5.0E-12  5.2E-12  5.4E-12  6.0E-12  6.5E-12  7.7E-12
  103   15   12  2.8E-12  3.0E-12  3.3E-12  3.7E-12  4.2E-12  5.6E-12  7.2E-12  1.1E-11
  104   15   13  1.0E-11  1.1E-11  1.3E-11  1.4E-11  1.6E-11  1.8E-11  2.1E-11  2.5E-11
  105   15   14  3.8E-13  4.3E-13  7.7E-13  9.8E-13  1.1E-12  1.3E-12  1.5E-12  2.0E-12
  106   16    1  2.3E-12  2.3E-12  2.4E-12  2.5E-12  2.6E-12  2.8E-12  2.9E-12  3.2E-12
  107   16    2  2.5E-13  2.6E-13  2.8E-13  3.1E-13  3.5E-13  4.5E-13  5.7E-13  8.3E-13
  108   16    3  2.0E-12  2.1E-12  2.3E-12  2.5E-12  2.9E-12  3.7E-12  4.6E-12  6.4E-12
  109   16    4  1.6E-12  1.6E-12  1.7E-12  1.7E-12  1.8E-12  2.0E-12  2.2E-12  2.6E-12
