   15.0   30.0   60.0  100.0  200.0  300.0
100  16   10   1.1E-11   1.6E-11   1.9E-11   2.3E-11   3.2E-11   3.7E-11  
101  16    9   1.5E-12   2.1E-12   2.2E-12   2.1E-12   2.2E-12   2.4E-12  
102  16   12   5.9E-12   8.4E-12   8.6E-12   8.2E-12   8.3E-12   8.7E-12  
103  16   11   6.6E-12   9.7E-12   1.1E-11   1.3E-11   1.5E-11   1.7E-11  
104  16   14   2.6E-12   3.6E-12   3.1E-12   2.4E-12   1.8E-12   1.6E-12  
105  16   13   3.0E-11   4.3E-11   4.8E-11   5.0E-11   5.3E-11   5.4E-11  
106  15    2   7.4E-14   1.0E-13   1.2E-13   1.4E-13   2.3E-13   2.9E-13  
107  15    1   2.2E-13   3.4E-13   4.5E-13   6.1E-13   9.9E-13   1.2E-12  
108  15    4   7.7E-13   1.1E-12   1.5E-12   2.0E-12   3.2E-12   4.0E-12  
109  15    3   6.7E-13   8.8E-13   7.8E-13   6.6E-13   6.1E-13   6.2E-13  
110  15    6   6.8E-14   9.8E-14   1.1E-13   1.4E-13   2.4E-13   3.1E-13  
111  15    5   1.2E-13   1.8E-13   2.1E-13   2.3E-13   3.2E-13   3.7E-13  
112  15    8   1.5E-13   2.1E-13   2.3E-13   2.6E-13   3.4E-13   3.7E-13  
113  15    7   3.8E-13   6.0E-13   9.2E-13   1.4E-12   2.4E-12   3.1E-12  
114  15   10   1.2E-12   1.8E-12   2.0E-12   2.1E-12   2.4E-12   2.5E-12  
115  15    9   1.7E-11   2.5E-11   3.0E-11   3.5E-11   4.5E-11   5.0E-11  
116  15   12   6.5E-12   9.9E-12   1.3E-11   1.7E-11   2.4E-11   2.8E-11  
117  15   11   3.1E-12   4.3E-12   4.2E-12   4.0E-12   4.1E-12   4.4E-12  
118  15   14   6.6E-11   9.5E-11   1.0E-10   1.0E-10   1.1E-10   1.1E-10  
119  15   13   2.8E-12   3.7E-12   3.2E-12   2.4E-12   1.6E-12   1.4E-12  
