            5.0      10.0      20.0      30.0      40.0      50.0      60.0      70.0      80.0      90.0     100.0     200.0     300.0     500.0     700.0    1000.0    1500.0    2000.0    2500.0    3000.0
7	4	6.76E-11	6.76E-11	6.38E-11	5.97E-11	5.66E-11	5.43E-11	5.25E-11	5.11E-11	4.99E-11	4.89E-11	4.96E-11	4.88E-11	4.91E-11	4.98E-11	5.07E-11	5.26E-11	5.55E-11	5.67E-11	5.61E-11	5.44E-11
7	5	9.83E-11	1.04E-10	1.09E-10	1.13E-10	1.16E-10	1.19E-10	1.21E-10	1.24E-10	1.25E-10	1.27E-10	1.32E-10	1.54E-10	1.72E-10	2.05E-10	2.29E-10	2.44E-10	2.35E-10	2.10E-10	1.84E-10	1.61E-10
7	6	2.29E-10	2.52E-10	2.83E-10	3.01E-10	3.12E-10	3.20E-10	3.26E-10	3.30E-10	3.32E-10	3.33E-10	3.42E-10	3.57E-10	3.61E-10	3.61E-10	3.57E-10	3.51E-10	3.40E-10	3.24E-10	3.06E-10	2.86E-10
8	1	5.62E-12	5.36E-12	5.03E-12	4.76E-12	4.54E-12	4.37E-12	4.22E-12	4.09E-12	3.97E-12	3.86E-12	3.84E-12	3.31E-12	2.96E-12	2.51E-12	2.31E-12	2.24E-12	2.38E-12	2.56E-12	2.65E-12	2.67E-12
8	2	1.87E-11	1.82E-11	1.77E-11	1.72E-11	1.68E-11	1.65E-11	1.62E-11	1.59E-11	1.56E-11	1.54E-11	1.57E-11	1.62E-11	1.71E-11	1.83E-11	1.88E-11	1.90E-11	1.89E-11	1.86E-11	1.81E-11	1.73E-11
8	3	2.77E-11	2.78E-11	2.74E-11	2.65E-11	2.56E-11	2.48E-11	2.42E-11	2.35E-11	2.29E-11	2.24E-11	2.24E-11	2.02E-11	1.86E-11	1.63E-11	1.52E-11	1.50E-11	1.60E-11	1.72E-11	1.77E-11	1.77E-11
8	4	4.34E-11	4.51E-11	4.64E-11	4.67E-11	4.67E-11	4.67E-11	4.66E-11	4.65E-11	4.63E-11	4.59E-11	4.77E-11	5.33E-11	5.95E-11	6.85E-11	7.36E-11	7.75E-11	7.94E-11	7.84E-11	7.55E-11	7.17E-11
8	5	5.65E-11	5.77E-11	5.78E-11	5.66E-11	5.53E-11	5.41E-11	5.32E-11	5.23E-11	5.14E-11	5.05E-11	5.14E-11	5.08E-11	5.08E-11	5.12E-11	5.22E-11	5.43E-11	5.75E-11	5.88E-11	5.83E-11	5.65E-11
8	6	8.08E-11	8.55E-11	9.31E-11	9.86E-11	1.03E-10	1.08E-10	1.11E-10	1.15E-10	1.17E-10	1.18E-10	1.26E-10	1.52E-10	1.73E-10	2.08E-10	2.38E-10	2.74E-10	3.10E-10	3.25E-10	3.26E-10	3.17E-10
8	7	2.08E-10	2.24E-10	2.53E-10	2.73E-10	2.87E-10	2.97E-10	3.04E-10	3.09E-10	3.12E-10	3.13E-10	3.27E-10	3.47E-10	3.54E-10	3.56E-10	3.54E-10	3.50E-10	3.39E-10	3.24E-10	3.06E-10	2.87E-10
9	1	2.97E-12	2.97E-12	2.97E-12	2.97E-12	2.97E-12	2.97E-12	2.97E-12	2.97E-12	2.97E-12	2.97E-12	2.97E-12	3.04E-12	3.18E-12	3.47E-12	3.66E-12	3.79E-12	3.84E-12	3.79E-12	3.67E-12	3.50E-12
9	2	7.53E-12	7.53E-12	7.53E-12	7.53E-12	7.53E-12	7.53E-12	7.53E-12	7.53E-12	7.53E-12	7.53E-12	7.53E-12	6.56E-12	5.82E-12	4.94E-12	4.59E-12	4.57E-12	5.01E-12	5.43E-12	5.65E-12	5.69E-12
9	3	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.92E-11	2.06E-11	2.22E-11	2.29E-11	2.33E-11	2.33E-11	2.30E-11	2.23E-11	2.14E-11
9	4	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.30E-11	2.13E-11	1.96E-11	1.73E-11	1.63E-11	1.62E-11	1.77E-11	1.90E-11	1.96E-11	1.96E-11
9	5	4.65E-11	4.65E-11	4.65E-11	4.65E-11	4.65E-11	4.65E-11	4.65E-11	4.65E-11	4.65E-11	4.65E-11	4.65E-11	5.44E-11	6.16E-11	7.13E-11	7.66E-11	8.07E-11	8.29E-11	8.18E-11	7.89E-11	7.49E-11
9	6	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.24E-11	5.20E-11	5.21E-11	5.31E-11	5.54E-11	5.88E-11	6.02E-11	5.97E-11	5.79E-11
9	7	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.20E-10	1.49E-10	1.72E-10	2.10E-10	2.41E-10	2.77E-10	3.15E-10	3.30E-10	3.30E-10	3.21E-10
9	8	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.09E-10	3.35E-10	3.44E-10	3.49E-10	3.49E-10	3.46E-10	3.37E-10	3.23E-10	3.05E-10	2.86E-10
10	1	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.38E-12	1.18E-12	1.04E-12	8.83E-13	8.42E-13	8.86E-13	1.03E-12	1.15E-12	1.21E-12	1.22E-12
10	2	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.53E-12	5.87E-12	6.27E-12	6.99E-12	7.46E-12	7.83E-12	8.03E-12	7.97E-12	7.73E-12	7.39E-12
10	3	8.38E-12	8.38E-12	8.38E-12	8.38E-12	8.38E-12	8.38E-12	8.38E-12	8.38E-12	8.38E-12	8.38E-12	8.38E-12	7.46E-12	6.68E-12	5.77E-12	5.48E-12	5.64E-12	6.36E-12	6.97E-12	7.27E-12	7.32E-12
10	4	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	1.80E-11	2.02E-11	2.20E-11	2.39E-11	2.47E-11	2.52E-11	2.54E-11	2.51E-11	2.44E-11	2.34E-11
