      5.0     10.0     20.0     40.0     60.0     80.0    100.0    200.0    300.0    500.0 
12  9 +2.9e-11 +2.9e-11 +3.0e-11 +3.2e-11 +3.4e-11 +3.5e-11 +3.6e-11 +3.9e-11 +4.2e-11 +4.7e-11 
12 10 +1.8e-11 +1.9e-11 +1.9e-11 +2.0e-11 +2.0e-11 +2.1e-11 +2.3e-11 +3.0e-11 +3.6e-11 +4.5e-11 
12 11 +8.0e-11 +7.9e-11 +7.7e-11 +7.5e-11 +7.4e-11 +7.4e-11 +7.3e-11 +7.5e-11 +7.8e-11 +8.7e-11 
13  1 +6.7e-15 +8.1e-15 +1.1e-14 +2.2e-14 +4.1e-14 +6.7e-14 +9.7e-14 +2.4e-13 +3.3e-13 +4.4e-13 
13  2 +3.0e-14 +3.6e-14 +4.9e-14 +8.6e-14 +1.4e-13 +2.1e-13 +2.9e-13 +6.5e-13 +8.8e-13 +1.1e-12 
13  3 +1.2e-13 +1.4e-13 +1.8e-13 +2.8e-13 +4.3e-13 +6.1e-13 +8.1e-13 +1.7e-12 +2.2e-12 +2.8e-12 
13  4 +3.2e-13 +3.7e-13 +4.5e-13 +6.6e-13 +9.1e-13 +1.2e-12 +1.5e-12 +2.5e-12 +3.2e-12 +3.9e-12 
13  5 +7.7e-13 +8.7e-13 +1.0e-12 +1.4e-12 +1.8e-12 +2.3e-12 +2.7e-12 +4.5e-12 +5.5e-12 +6.8e-12 
13  6 +1.8e-12 +2.0e-12 +2.4e-12 +3.1e-12 +3.8e-12 +4.5e-12 +5.1e-12 +7.3e-12 +8.6e-12 +1.0e-11 
13  7 +2.8e-12 +3.1e-12 +3.5e-12 +4.2e-12 +4.9e-12 +5.5e-12 +6.0e-12 +8.0e-12 +9.1e-12 +1.1e-11 
13  8 +6.9e-12 +7.8e-12 +9.0e-12 +1.1e-11 +1.2e-11 +1.4e-11 +1.5e-11 +1.9e-11 +2.1e-11 +2.5e-11 
13  9 +6.7e-12 +7.4e-12 +8.1e-12 +8.7e-12 +9.0e-12 +9.3e-12 +9.6e-12 +1.1e-11 +1.2e-11 +1.3e-11 
13 10 +2.2e-11 +2.5e-11 +2.8e-11 +3.1e-11 +3.4e-11 +3.6e-11 +3.7e-11 +4.4e-11 +4.8e-11 +5.6e-11 
13 11 +1.4e-11 +1.6e-11 +1.7e-11 +1.8e-11 +1.9e-11 +2.0e-11 +2.1e-11 +2.7e-11 +3.1e-11 +3.8e-11 
13 12 +6.3e-11 +7.0e-11 +7.4e-11 +7.6e-11 +7.6e-11 +7.6e-11 +7.6e-11 +7.9e-11 +8.4e-11 +9.5e-11 
14  1 +2.8e-15 +3.4e-15 +4.9e-15 +9.4e-15 +1.7e-14 +2.6e-14 +3.6e-14 +7.6e-14 +1.0e-13 +1.3e-13 
14  2 +1.8e-14 +2.1e-14 +2.8e-14 +4.9e-14 +8.3e-14 +1.2e-13 +1.7e-13 +3.4e-13 +4.5e-13 +5.6e-13 
14  3 +5.2e-14 +6.1e-14 +7.9e-14 +1.3e-13 +1.9e-13 +2.6e-13 +3.4e-13 +6.1e-13 +7.7e-13 +9.4e-13 
14  4 +1.7e-13 +1.9e-13 +2.4e-13 +3.6e-13 +5.0e-13 +6.7e-13 +8.3e-13 +1.4e-12 +1.8e-12 +2.2e-12 
14  5 +3.9e-13 +4.4e-13 +5.4e-13 +7.5e-13 +9.8e-13 +1.2e-12 +1.4e-12 +2.1e-12 +2.5e-12 +3.0e-12 
14  6 +8.6e-13 +9.7e-13 +1.2e-12 +1.5e-12 +1.9e-12 +2.2e-12 +2.6e-12 +3.7e-12 +4.4e-12 +5.1e-12 
