 182  E   13  -6    277.3566345
 183  E   13   7    319.8081508
 184  E   13  -7    327.2112244
 185  E   13  -8    369.9369794
 186  E   13   8    379.5147900
 187  E   13  -9    426.6182778
 188  E   13   9    431.0090439
 189  E   13  10    491.4489224
 190  E   13 -10    501.5763022
 191  E   13  11    571.8784626
 192  E   13 -11    574.1380887
 193  E   13 -12    644.4039673
 194  E   13  12    655.4640294
 195  E   13  13    732.7843429
 196  E   13 -13    733.0044623
 197  E   14  -1    171.6852025
 198  E   14   0    176.6606289
 199  E   14   1    182.6748174
 200  E   14   2    183.6778536
 201  E   14  -2    186.2232803
 202  E   14   3    201.3097736
 203  E   14  -3    211.6929623
 204  E   14  -4    229.3201233
 205  E   14   4    234.9126467
 206  E   14  -5    254.4789445
 207  E   14   5    262.9341075
 208  E   14   6    292.7108998
 209  E   14  -6    299.7590344
 210  E   14   7    342.2101952
 211  E   14  -7    349.6106241
 212  E   14  -8    392.3361029
 213  E   14   8    401.9147098
 214  E   14  -9    449.0189325
 215  E   14   9    453.4079770
 216  E   14  10    513.8488025
 217  E   14 -10    523.9768819
 218  E   14  11    594.2790793
 219  E   14 -11    596.5375518
 220  E   14 -12    666.8030183
 221  E   14  12    677.8639102
 222  E   14  13    755.1836160
 223  E   14 -13    755.4046414
 224  E   14  14    848.0375298
 225  E   14 -14    857.9024354
 226  E   15  -1    195.6234622
 227  E   15   0    200.5307211
 228  E   15   1    206.6864935
 229  E   15   2    207.7162478
 230  E   15  -2    210.2882968
 231  E   15   3    225.3332073
 232  E   15  -3    235.6940225
 233  E   15  -4    253.3204657
 234  E   15   4    258.9148847
 235  E   15  -5    278.4841812
 236  E   15   5    286.9328053
 237  E   15   6    316.7126042
 238  E   15  -6    323.7619394
 239  E   15   7    366.2126712
 240  E   15  -7    373.6097400
 241  E   15  -8    416.3348385
 242  E   15   8    425.9144727
 243  E   15  -9    473.0196409
 244  E   15   9    477.4064251
 245  E   15  10    537.8484646
 246  E   15 -10    547.9774915
 247  E   15  11    618.2797367
 248  E   15 -11    620.5365915
 249  E   15 -12    690.8013203
 250  E   15  12    701.8634676
 251  E   15  13    779.1819909
 252  E   15 -13    779.4045458
 253  E   15  14    872.0359790
 254  E   15 -14    881.9027752
 255  E   15 -15    977.3310153
 256  E   15  15    984.6436721
