 20.0    40.0    80.0   120.0   200.0   400.0   800.0  1200.0  1600.0  2000.0
   36    9   8   4.1E-13 5.9E-13 1.2E-12 1.9E-12 3.7E-12 8.4E-12 1.5E-11 1.9E-11 2.2E-11 2.3E-11
   37   10   1   8.1E-14 1.2E-13 2.4E-13 3.9E-13 7.4E-13 1.6E-12 2.7E-12 3.3E-12 3.7E-12 4.0E-12
   38   10   2   2.0E-13 3.0E-13 5.5E-13 8.2E-13 1.4E-12 2.8E-12 5.7E-12 8.0E-12 9.9E-12 1.1E-11
   39   10   3   9.8E-14 1.4E-13 2.4E-13 3.3E-13 5.1E-13 8.7E-13 1.4E-12 1.8E-12 2.1E-12 2.3E-12
   40   10   4   1.3E-13 2.0E-13 4.2E-13 7.0E-13 1.5E-12 4.0E-12 9.5E-12 1.4E-11 1.7E-11 2.0E-11
   41   10   5   7.3E-13 1.1E-12 2.0E-12 3.3E-12 6.3E-12 1.5E-11 3.2E-11 4.4E-11 5.3E-11 6.0E-11
   42   10   6   4.6E-12 6.1E-12 9.6E-12 1.3E-11 2.1E-11 3.6E-11 5.5E-11 6.6E-11 7.3E-11 7.9E-11
   43   10   7   2.8E-12 3.5E-12 5.0E-12 6.3E-12 8.7E-12 1.4E-11 2.0E-11 2.4E-11 2.7E-11 2.8E-11
   44   10   8   5.4E-12 6.9E-12 1.0E-11 1.4E-11 2.0E-11 3.1E-11 4.5E-11 5.2E-11 5.7E-11 6.0E-11
   45   10   9   1.1E-12 1.8E-12 3.5E-12 5.1E-12 8.0E-12 1.2E-11 1.6E-11 1.8E-11 2.0E-11 2.1E-11
   46   11   1   3.2E-13 4.3E-13 7.6E-13 1.2E-12 2.2E-12 4.8E-12 8.7E-12 1.1E-11 1.3E-11 1.4E-11
   47   11   2   7.8E-14 1.2E-13 2.3E-13 3.6E-13 6.5E-13 1.4E-12 2.5E-12 3.3E-12 3.8E-12 4.2E-12
   48   11   3   8.5E-13 1.2E-12 1.9E-12 2.6E-12 3.9E-12 6.6E-12 1.1E-11 1.4E-11 1.7E-11 1.9E-11
   49   11   4   3.5E-13 5.0E-13 9.1E-13 1.4E-12 2.6E-12 5.7E-12 1.0E-11 1.2E-11 1.4E-11 1.5E-11
   50   11   5   1.8E-13 2.6E-13 4.9E-13 7.4E-13 1.3E-12 3.1E-12 6.6E-12 9.4E-12 1.2E-11 1.3E-11
   51   11   6   1.2E-12 1.5E-12 2.4E-12 3.2E-12 4.6E-12 7.1E-12 1.0E-11 1.3E-11 1.4E-11 1.6E-11
   52   11   7   5.1E-13 6.5E-13 1.1E-12 1.6E-12 2.9E-12 6.4E-12 1.2E-11 1.5E-11 1.8E-11 1.9E-11
   53   11   8   1.2E-11 1.5E-11 2.1E-11 2.7E-11 3.8E-11 5.9E-11 8.4E-11 9.6E-11 1.0E-10 1.1E-10
   54   11   9   1.5E-13 2.2E-13 4.3E-13 7.1E-13 1.4E-12 3.3E-12 6.8E-12 9.4E-12 1.1E-11 1.3E-11
   55   11  10   1.4E-13 1.8E-13 3.0E-13 4.4E-13 7.3E-13 1.5E-12 3.0E-12 4.2E-12 5.3E-12 6.1E-12
   56   12   1   1.8E-14 3.0E-14 7.4E-14 1.4E-13 3.6E-13 1.2E-12 3.3E-12 5.1E-12 6.4E-12 7.4E-12
   57   12   2   2.7E-14 4.3E-14 9.4E-14 1.6E-13 3.3E-13 7.5E-13 1.3E-12 1.6E-12 1.7E-12 1.8E-12
   58   12   3   2.2E-13 3.5E-13 7.3E-13 1.2E-12 2.6E-12 6.5E-12 1.4E-11 1.9E-11 2.3E-11 2.6E-11
   59   12   4   2.3E-13 3.5E-13 6.5E-13 9.9E-13 1.6E-12 2.9E-12 4.8E-12 6.3E-12 7.6E-12 8.7E-12
   60   12   5   9.3E-14 1.4E-13 2.6E-13 4.2E-13 8.1E-13 2.0E-12 4.5E-12 6.4E-12 7.8E-12 8.8E-12
   61   12   6   2.0E-13 3.1E-13 5.9E-13 9.5E-13 1.9E-12 5.1E-12 1.2E-11 1.8E-11 2.2E-11 2.6E-11
