   15.0   30.0   60.0  100.0  200.0  300.0
 56  11    2     3.9E-12   5.0E-12   5.2E-12   5.4E-12   6.5E-12   7.6E-12  
 57  11    1     6.3E-12   8.2E-12   8.5E-12   9.0E-12   1.0E-11   1.1E-11  
 58  11    4     2.0E-11   2.5E-11   2.5E-11   2.5E-11   2.5E-11   2.5E-11  
 59  11    3     3.3E-11   4.2E-11   4.3E-11   4.3E-11   4.7E-11   5.1E-11  
 60  11    6     3.5E-12   4.4E-12   4.4E-12   4.6E-12   5.5E-12   6.0E-12  
 61  11    5     4.3E-12   5.7E-12   6.4E-12   7.7E-12   1.1E-11   1.2E-11  
 62  11    8     2.6E-11   3.3E-11   3.3E-11   3.3E-11   3.5E-11   3.6E-11  
 63  11    7     3.3E-11   4.5E-11   5.2E-11   6.0E-11   7.1E-11   7.4E-11  
 64  11   10     1.2E-10   1.5E-10   1.5E-10   1.4E-10   1.3E-10   1.3E-10  
 65  11    9     1.7E-11   2.1E-11   2.0E-11   1.9E-11   1.7E-11   1.7E-11  
 66  12   11     6.5E-11   7.8E-11   6.8E-11   5.6E-11   4.5E-11   4.2E-11  
 67  14    2     2.4E-13   5.3E-13   8.6E-13   1.0E-12   1.2E-12   1.3E-12  
 68  14    1     2.2E-13   4.9E-13   8.4E-13   1.1E-12   1.4E-12   1.6E-12  
 69  14    4     1.2E-12   2.7E-12   4.7E-12   5.9E-12   7.4E-12   8.4E-12  
 70  14    3     7.4E-13   1.6E-12   2.6E-12   3.0E-12   3.4E-12   3.9E-12  
 71  14    6     2.0E-13   4.2E-13   7.3E-13   1.1E-12   1.7E-12   2.0E-12  
 72  14    5     7.5E-14   1.6E-13   2.9E-13   4.7E-13   7.6E-13   9.4E-13  
 73  14    8     5.4E-13   1.2E-12   2.2E-12   2.9E-12   3.8E-12   4.1E-12  
 74  14    7     6.2E-13   1.4E-12   2.3E-12   3.2E-12   4.7E-12   5.8E-12  
 75  14   10     6.4E-12   1.5E-11   2.6E-11   3.3E-11   3.7E-11   3.8E-11  
 76  14    9     4.2E-12   9.5E-12   1.6E-11   2.0E-11   2.5E-11   2.8E-11  
 77  14   12     1.1E-11   2.4E-11   3.8E-11   4.6E-11   5.3E-11   5.6E-11  
 78  14   11     1.7E-12   3.8E-12   6.4E-12   8.0E-12   9.6E-12   1.0E-11  
 79  13    2     1.4E-12   3.0E-12   5.0E-12   6.2E-12   8.3E-12   9.9E-12  
 80  13    1     9.0E-13   2.0E-12   3.4E-12   4.3E-12   5.3E-12   5.9E-12  
 81  13    4     2.0E-12   4.4E-12   7.6E-12   9.5E-12   1.1E-11   1.2E-11  
 82  13    3     5.3E-12   1.2E-11   1.9E-11   2.3E-11   2.9E-11   3.3E-11  
 83  13    6     2.1E-13   4.6E-13   8.2E-13   1.2E-12   1.8E-12   2.0E-12  
 84  13    5     4.3E-13   9.2E-13   1.6E-12   2.4E-12   3.5E-12   4.0E-12  
 85  13    8     7.0E-13   1.5E-12   2.6E-12   3.5E-12   4.8E-12   5.6E-12  
 86  13    7     5.6E-13   1.3E-12   2.2E-12   2.9E-12   3.6E-12   3.8E-12  
 87  13   10     9.3E-12   2.1E-11   3.5E-11   4.3E-11   5.2E-11   5.8E-11  
 88  13    9     7.3E-12   1.7E-11   3.0E-11   3.7E-11   4.2E-11   4.2E-11  
 89  13   12     1.8E-12   4.0E-12   6.2E-12   7.3E-12   8.2E-12   8.6E-12  
 90  13   11     4.0E-12   8.8E-12   1.4E-11   1.7E-11   1.9E-11   1.9E-11  
 91  14   13     3.1E-11   6.5E-11   9.8E-11   1.0E-10   1.0E-10   1.0E-10  
 92  16    2     5.6E-13   1.3E-12   2.4E-12   3.5E-12   6.1E-12   8.2E-12  
 93  16    1     3.8E-13   9.0E-13   1.6E-12   2.3E-12   3.5E-12   4.3E-12  
 94  16    4     7.9E-13   1.9E-12   3.2E-12   4.2E-12   6.1E-12   7.5E-12  
 95  16    3     9.3E-13   2.2E-12   3.9E-12   5.8E-12   1.1E-11   1.4E-11  
 96  16    6     1.6E-13   4.2E-13   9.9E-13   1.5E-12   2.2E-12   2.6E-12  
 97  16    5     2.3E-13   6.1E-13   1.3E-12   1.9E-12   2.7E-12   3.1E-12  
 98  16    8     1.6E-12   3.9E-12   7.3E-12   9.8E-12   1.3E-11   1.5E-11  
 99  16    7     3.6E-13   8.8E-13   1.7E-12   2.3E-12   3.2E-12   3.6E-12  
100  16   10     3.2E-12   7.3E-12   1.3E-11   1.7E-11   2.7E-11   3.5E-11  
101  16    9     9.8E-13   2.3E-12   3.8E-12   4.8E-12   6.6E-12   7.9E-12  
102  16   12     5.3E-12   1.3E-11   2.4E-11   3.1E-11   3.7E-11   3.9E-11  
103  16   11     1.6E-12   3.9E-12   7.0E-12   9.3E-12   1.3E-11   1.5E-11  
104  16   14     1.9E-12   4.4E-12   7.3E-12   8.4E-12   9.3E-12   9.8E-12  
105  16   13     6.6E-12   1.5E-11   2.7E-11   3.5E-11   4.6E-11   5.3E-11  
106  15    2     9.7E-14   2.3E-13   4.3E-13   6.1E-13   1.0E-12   1.4E-12  
107  15    1     8.3E-14   2.0E-13   3.7E-13   5.7E-13   1.1E-12   1.6E-12  
