     distance         timeN            Tn           0.0           0.1          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          **** 
  5.673509381E+013   4.5866E+000   1.2670E+004   7.4160E-005   7.3569E-005   6.5271E-010   6.3410E-010   4.7574E-013   4.6511E-013   1.4262E-016   1.3659E-016   3.5750E-017   3.3519E-017   1.0040E-022   9.6543E-023   1.1967E-026   1.0675E-026   2.2228E-031   2.1647E-031   2.3991E-038   2.0088E-038   1.8368E-042   1.8355E-042 
  7.051370447E+013   5.7235E+000   1.2582E+004   7.3904E-005   7.3316E-005   6.5046E-010   6.3192E-010   4.7410E-013   4.6351E-013   1.4213E-016   1.3612E-016   3.5627E-017   3.3403E-017   1.0005E-022   9.6211E-023   1.1926E-026   1.0638E-026   2.2151E-031   2.1573E-031   2.3909E-038   2.0019E-038   1.8305E-042   1.8292E-042 
  8.173550016E+013   6.6568E+000   1.2506E+004   7.4770E-005   7.4174E-005   6.5808E-010   6.3932E-010   4.7965E-013   4.6894E-013   1.4379E-016   1.3772E-016   3.6044E-017   3.3794E-017   1.0122E-022   9.7337E-023   1.2065E-026   1.0763E-026   2.2411E-031   2.1825E-031   2.4189E-038   2.0254E-038   1.8519E-042   1.8506E-042 
  9.040048087E+013   7.3823E+000   1.2444E+004   7.5841E-005   7.5237E-005   6.6751E-010   6.4848E-010   4.8653E-013   4.7566E-013   1.4585E-016   1.3969E-016   3.6561E-017   3.4278E-017   1.0267E-022   9.8732E-023   1.2238E-026   1.0917E-026   2.2732E-031   2.2138E-031   2.4535E-038   2.0544E-038   1.8785E-042   1.8771E-042 
  1.024381012E+014   8.3976E+000   1.2354E+004   7.7470E-005   7.6853E-005   6.8185E-010   6.6241E-010   4.9698E-013   4.8588E-013   1.4899E-016   1.4269E-016   3.7346E-017   3.5015E-017   1.0488E-022   1.0085E-022   1.2501E-026   1.1151E-026   2.3220E-031   2.2613E-031   2.5062E-038   2.0985E-038   1.9188E-042   1.9175E-042 
  1.313060057E+014   1.0871E+001   1.2118E+004   7.8638E-005   7.8011E-005   6.9212E-010   6.7239E-010   5.0447E-013   4.9320E-013   1.5123E-016   1.4484E-016   3.7909E-017   3.5543E-017   1.0646E-022   1.0237E-022   1.2689E-026   1.1319E-026   2.3570E-031   2.2954E-031   2.5440E-038   2.1302E-038   1.9478E-042   1.9464E-042 
  1.643209682E+014   1.3777E+001   1.1816E+004   7.2659E-005   7.2080E-005   6.3950E-010   6.2127E-010   4.6611E-013   4.5570E-013   1.3973E-016   1.3383E-016   3.5027E-017   3.2840E-017   9.8365E-023   9.4589E-023   1.1725E-026   1.0459E-026   2.1778E-031   2.1209E-031   2.3506E-038   1.9682E-038   1.7997E-042   1.7984E-042 
  1.973359307E+014   1.6776E+001   1.1492E+004   6.7332E-005   6.6796E-005   5.9262E-010   5.7572E-010   4.3194E-013   4.2229E-013   1.2949E-016   1.2402E-016   3.2459E-017   3.0433E-017   9.1153E-023   8.7655E-023   1.0865E-026   9.6921E-027   2.0181E-031   1.9654E-031   2.1783E-038   1.8239E-038   1.6677E-042   1.6665E-042 
  2.261562617E+014   1.9479E+001   1.1201E+004   6.6794E-005   6.6262E-005   5.8788E-010   5.7113E-010   4.2849E-013   4.1892E-013   1.2845E-016   1.2303E-016   3.2200E-017   3.0190E-017   9.0425E-023   8.6955E-023   1.0778E-026   9.6147E-027   2.0020E-031   1.9497E-031   2.1609E-038   1.8093E-038   1.6544E-042   1.6532E-042 
  2.780754170E+014   2.4563E+001   1.0675E+004   7.0850E-005   7.0285E-005   6.2358E-010   6.0580E-010   4.5451E-013   4.4435E-013   1.3625E-016   1.3050E-016   3.4155E-017   3.2023E-017   9.5915E-023   9.2234E-023   1.1433E-026   1.0198E-026   2.1236E-031   2.0681E-031   2.2921E-038   1.9192E-038   1.7549E-042   1.7536E-042 
  3.403794556E+014   3.1064E+001   1.0040E+004   8.1971E-005   8.1318E-005   7.2146E-010   7.0090E-010   5.2585E-013   5.1411E-013   1.5764E-016   1.5098E-016   3.9516E-017   3.7049E-017   1.1097E-022   1.0671E-022   1.3227E-026   1.1799E-026   2.4569E-031   2.3927E-031   2.6519E-038   2.2205E-038   2.0303E-042   2.0289E-042 
  4.026834942E+014   3.8062E+001   9.3815E+003   1.0407E-004   1.0324E-004   9.1599E-010   8.8987E-010   6.6763E-013   6.5272E-013   2.0015E-016   1.9169E-016   5.0170E-017   4.7039E-017   1.4089E-022   1.3548E-022   1.6794E-026   1.4981E-026   3.1194E-031   3.0379E-031   3.3669E-038   2.8191E-038   2.5777E-042   2.5759E-042 
  4.470223930E+014   4.3400E+001   8.8884E+003   1.3287E-004   1.3182E-004   1.1695E-009   1.1361E-009   8.5240E-013   8.3336E-013   2.5553E-016   2.4474E-016   6.4055E-017   6.0056E-017   1.7988E-022   1.7298E-022   2.1441E-026   1.9127E-026   3.9826E-031   3.8786E-031   4.2986E-038   3.5993E-038   3.2911E-042   3.2888E-042 
  4.836619462E+014   4.8073E+001   8.4614E+003   1.7259E-004   1.7122E-004   1.5190E-009   1.4757E-009   1.1072E-012   1.0825E-012   3.3192E-016   3.1789E-016   8.3201E-017   7.8008E-017   2.3365E-022   2.2468E-022   2.7850E-026   2.4844E-026   5.1731E-031   5.0379E-031   5.5835E-038   4.6752E-038   4.2749E-042   4.2718E-042 
  5.488857369E+014   5.7108E+001   7.6498E+003   3.2626E-004   3.2366E-004   2.8716E-009   2.7897E-009   2.0930E-012   2.0463E-012   6.2745E-016   6.0094E-016   1.5728E-016   1.4746E-016   4.4169E-022   4.2474E-022   5.2647E-026   4.6964E-026   9.7791E-031   9.5235E-031   1.0555E-037   8.8379E-038   8.0811E-042   8.0753E-042 
  6.796846285E+014   7.9292E+001   5.7384E+003   3.5061E-003   3.4782E-003   3.0859E-008   2.9979E-008   2.2492E-011   2.1990E-011   6.7427E-015   6.4578E-015   1.6902E-015   1.5847E-015   4.7465E-021   4.5643E-021   5.6576E-025   5.0468E-025   1.0509E-029   1.0234E-029   1.1343E-036   9.4974E-037   8.6842E-041   8.6779E-041 
  6.991356782E+014   8.3300E+001   5.4037E+003   6.3123E-003   6.2620E-003   5.5557E-008   5.3973E-008   4.0494E-011   3.9589E-011   1.2139E-014   1.1626E-014   3.0430E-015   2.8530E-015   8.5455E-021   8.2175E-021   1.0186E-024   9.0862E-025   1.8920E-029   1.8425E-029   2.0421E-036   1.7099E-036   1.5635E-040   1.5623E-040 
  7.146036956E+014   8.6683E+001   5.1224E+003   1.0931E-002   1.0844E-002   9.6208E-008   9.3465E-008   7.0123E-011   6.8557E-011   2.1022E-014   2.0134E-014   5.2695E-015   4.9406E-015   1.4798E-020   1.4230E-020   1.7639E-024   1.5735E-024   3.2763E-029   3.1907E-029   3.5363E-036   2.9610E-036   2.7075E-040   2.7055E-040 
  7.379810188E+014   9.2200E+001   4.6623E+003   3.0323E-002   3.0081E-002   2.6689E-007   2.5928E-007   1.9452E-010   1.9018E-010   5.8315E-014   5.5852E-014   1.4618E-014   1.3705E-014   4.1051E-020   3.9475E-020   4.8931E-024   4.3648E-024   9.0887E-029   8.8512E-029   9.8098E-036   8.2140E-036   7.5106E-040   7.5052E-040 
  7.581159558E+014   9.7456E+001   4.2103E+003   9.5674E-002   9.4912E-002   8.4206E-007   8.1806E-007   6.1376E-010   6.0005E-010   1.8399E-013   1.7622E-013   4.6122E-014   4.3243E-014   1.2952E-019   1.2455E-019   1.5438E-023   1.3772E-023   2.8676E-028   2.7927E-028   3.0952E-035   2.5916E-035   2.3697E-039   2.3680E-039 
  7.731340564E+014   1.0181E+002   3.7974E+003   2.8814E-001   2.8584E-001   2.5360E-006   2.4637E-006   1.8484E-009   1.8072E-009   5.5413E-013   5.3072E-013   1.3890E-013   1.3023E-013   3.9008E-019   3.7511E-019   4.6496E-023   4.1476E-023   8.6364E-028   8.4107E-028   9.3216E-035   7.8052E-035   7.1369E-039   7.1317E-039 
  7.801819832E+014   1.0404E+002   3.5513E+003   5.3029E-001   5.2607E-001   4.6673E-006   4.5343E-006   3.4019E-009   3.3259E-009   1.0198E-012   9.7674E-013   2.5564E-013   2.3968E-013   7.1790E-019   6.9035E-019   8.5570E-023   7.6332E-023   1.5894E-027   1.5479E-027   1.7155E-034   1.4365E-034   1.3135E-038   1.3125E-038 
  7.814667789E+014   1.0446E+002   3.5001E+003   5.9666E-001   5.9191E-001   5.2514E-006   5.1017E-006   3.8276E-009   3.7421E-009   1.1475E-012   1.0990E-012   2.8763E-013   2.6968E-013   8.0775E-019   7.7675E-019   9.6280E-023   8.5886E-023   1.7884E-027   1.7416E-027   1.9303E-034   1.6162E-034   1.4778E-038   1.4768E-038 
  7.834420098E+014   1.0512E+002   3.4162E+003   7.1806E-001   7.1234E-001   6.3199E-006   6.1398E-006   4.6064E-009   4.5035E-009   1.3809E-012   1.3226E-012   3.4616E-013   3.2455E-013   9.7210E-019   9.3479E-019   1.1587E-022   1.0336E-022   2.1522E-027   2.0960E-027   2.3230E-034   1.9451E-034   1.7785E-038   1.7773E-038 
  7.883054221E+014   1.0684E+002   3.1751E+003   1.1553E+000   1.1461E+000   1.0168E-005   9.8784E-006   7.4113E-009   7.2458E-009   2.2218E-012   2.1279E-012   5.5694E-013   5.2217E-013   1.5640E-018   1.5040E-018   1.8642E-022   1.6630E-022   3.4628E-027   3.3723E-027   3.7375E-034   3.1295E-034   2.8615E-038   2.8595E-038 
  7.952267988E+014   1.0957E+002   2.6983E+003   2.4017E+000   2.3826E+000   2.1138E-005   2.0536E-005   1.5407E-008   1.5063E-008   4.6188E-012   4.4236E-012   1.1578E-012   1.0855E-012   3.2514E-018   3.1266E-018   3.8755E-022   3.4571E-022   7.1985E-027   7.0105E-027   7.7697E-034   6.5057E-034   5.9487E-038   5.9444E-038 
  7.991514577E+014   1.1139E+002   2.3079E+003   3.8597E+000   3.8290E+000   3.3971E-005   3.3003E-005   2.4761E-008   2.4207E-008   7.4228E-012   7.1092E-012   1.8607E-012   1.7445E-012   5.2253E-018   5.0247E-018   6.2283E-022   5.5559E-022   1.1569E-026   1.1266E-026   1.2487E-033   1.0455E-033   9.5601E-038   9.5532E-038 
  8.010932820E+014   1.1241E+002   2.0618E+003   5.0701E+000   5.0297E+000   4.4624E-005   4.3352E-005   3.2525E-008   3.1799E-008   9.7505E-012   9.3386E-012   2.4442E-012   2.2916E-012   6.8639E-018   6.6004E-018   8.1814E-022   7.2981E-022   1.5197E-026   1.4800E-026   1.6402E-033   1.3734E-033   1.2558E-037   1.2549E-037 
  8.021832719E+014   1.1304E+002   1.9019E+003   6.0201E+000   5.9721E+000   5.2985E-005   5.1475E-005   3.8619E-008   3.7757E-008   1.1577E-011   1.1088E-011   2.9021E-012   2.7209E-012   8.1499E-018   7.8371E-018   9.7143E-022   8.6656E-022   1.8044E-026   1.7572E-026   1.9476E-033   1.6307E-033   1.4911E-037   1.4900E-037 
  8.035933959E+014   1.1393E+002   1.6647E+003   7.7257E+000   7.6641E+000   6.7997E-005   6.6059E-005   4.9561E-008   4.8454E-008   1.4857E-011   1.4230E-011   3.7243E-012   3.4918E-012   1.0459E-017   1.0058E-017   1.2467E-021   1.1121E-021   2.3156E-026   2.2551E-026   2.4993E-033   2.0927E-033   1.9136E-037   1.9122E-037 
  8.042197128E+014   1.1437E+002   1.5457E+003   8.7336E+000   8.6641E+000   7.6868E-005   7.4677E-005   5.6027E-008   5.4775E-008   1.6796E-011   1.6086E-011   4.2102E-012   3.9474E-012   1.1823E-017   1.1370E-017   1.4093E-021   1.2572E-021   2.6177E-026   2.5493E-026   2.8254E-033   2.3658E-033   2.1632E-037   2.1617E-037 
  8.047282696E+014   1.1475E+002   1.4414E+003   9.6945E+000   9.6172E+000   8.5325E-005   8.2893E-005   6.2191E-008   6.0802E-008   1.8644E-011   1.7856E-011   4.6734E-012   4.3817E-012   1.3124E-017   1.2621E-017   1.5643E-021   1.3955E-021   2.9057E-026   2.8298E-026   3.1363E-033   2.6261E-033   2.4012E-037   2.3995E-037 
  8.051712395E+014   1.1510E+002   1.3439E+003   1.0633E+001   1.0549E+001   9.3589E-005   9.0921E-005   6.8214E-008   6.6691E-008   2.0450E-011   1.9586E-011   5.1261E-012   4.8061E-012   1.4395E-017   1.3843E-017   1.7159E-021   1.5306E-021   3.1872E-026   3.1039E-026   3.4400E-033   2.8804E-033   2.6338E-037   2.6319E-037 
  8.056828991E+014   1.1553E+002   1.2219E+003   1.1768E+001   1.1675E+001   1.0358E-004   1.0063E-004   7.5495E-008   7.3809E-008   2.2632E-011   2.1676E-011   5.6732E-012   5.3191E-012   1.5932E-017   1.5320E-017   1.8990E-021   1.6940E-021   3.5273E-026   3.4352E-026   3.8072E-033   3.1879E-033   2.9149E-037   2.9128E-037 
  8.063022336E+014   1.1610E+002   1.0566E+003   1.2801E+001   1.2699E+001   1.1267E-004   1.0946E-004   8.2121E-008   8.0287E-008   2.4619E-011   2.3579E-011   6.1711E-012   5.7859E-012   1.7330E-017   1.6665E-017   2.0657E-021   1.8427E-021   3.8369E-026   3.7367E-026   4.1414E-033   3.4676E-033   3.1707E-037   3.1684E-037 
  8.066310195E+014   1.1643E+002   9.5915E+002   1.2843E+001   1.2741E+001   1.1304E-004   1.0982E-004   8.2390E-008   8.0550E-008   2.4699E-011   2.3656E-011   6.1913E-012   5.8048E-012   1.7387E-017   1.6720E-017   2.0724E-021   1.8487E-021   3.8495E-026   3.7489E-026   4.1549E-033   3.4790E-033   3.1811E-037   3.1788E-037 
  8.068537252E+014   1.1667E+002   8.8961E+002   1.2549E+001   1.2449E+001   1.1045E-004   1.0730E-004   8.0505E-008   7.8707E-008   2.4134E-011   2.3114E-011   6.0497E-012   5.6720E-012   1.6989E-017   1.6337E-017   2.0250E-021   1.8064E-021   3.7614E-026   3.6631E-026   4.0598E-033   3.3994E-033   3.1083E-037   3.1061E-037 
  8.071860795E+014   1.1706E+002   7.8410E+002   1.1559E+001   1.1467E+001   1.0174E-004   9.8836E-005   7.4153E-008   7.2496E-008   2.2230E-011   2.1291E-011   5.5723E-012   5.2245E-012   1.5649E-017   1.5048E-017   1.8652E-021   1.6639E-021   3.4646E-026   3.3741E-026   3.7395E-033   3.1312E-033   2.8631E-037   2.8610E-037 
  8.074833984E+014   1.1743E+002   6.9505E+002   1.0117E+001   1.0037E+001   8.9045E-005   8.6507E-005   6.4902E-008   6.3453E-008   1.9457E-011   1.8635E-011   4.8772E-012   4.5727E-012   1.3697E-017   1.3171E-017   1.6326E-021   1.4563E-021   3.0324E-026   2.9532E-026   3.2730E-033   2.7406E-033   2.5059E-037   2.5041E-037 
  8.079573966E+014   1.1807E+002   5.8357E+002   7.2920E+000   7.2339E+000   6.4180E-005   6.2350E-005   4.6779E-008   4.5734E-008   1.4023E-011   1.3431E-011   3.5153E-012   3.2958E-012   9.8718E-018   9.4929E-018   1.1767E-021   1.0496E-021   2.1856E-026   2.1285E-026   2.3590E-033   1.9753E-033   1.8061E-037   1.8048E-037 
  8.082080711E+014   1.1844E+002   5.4393E+002   6.0129E+000   5.9650E+000   5.2922E-005   5.1414E-005   3.8573E-008   3.7712E-008   1.1564E-011   1.1075E-011   2.8987E-012   2.7177E-012   8.1402E-018   7.8278E-018   9.7028E-022   8.6553E-022   1.8023E-026   1.7552E-026   1.9452E-033   1.6288E-033   1.4893E-037   1.4883E-037 
  8.084299576E+014   1.1877E+002   5.1878E+002   5.1698E+000   5.1286E+000   4.5501E-005   4.4204E-005   3.3164E-008   3.2424E-008   9.9421E-012   9.5221E-012   2.4922E-012   2.3366E-012   6.9988E-018   6.7301E-018   8.3422E-022   7.4416E-022   1.5495E-026   1.5090E-026   1.6725E-033   1.4004E-033   1.2805E-037   1.2796E-037 
  8.085583906E+014   1.1896E+002   5.0767E+002   4.8067E+000   4.7685E+000   4.2306E-005   4.1100E-005   3.0836E-008   3.0147E-008   9.2440E-012   8.8535E-012   2.3172E-012   2.1725E-012   6.5073E-018   6.2576E-018   7.7564E-022   6.9190E-022   1.4407E-026   1.4031E-026   1.5550E-033   1.3021E-033   1.1906E-037   1.1897E-037 
  8.087253102E+014   1.1922E+002   4.9623E+002   4.4538E+000   4.4183E+000   3.9200E-005   3.8082E-005   2.8572E-008   2.7933E-008   8.5652E-012   8.2034E-012   2.1471E-012   2.0130E-012   6.0295E-018   5.7981E-018   7.1869E-022   6.4110E-022   1.3349E-026   1.3001E-026   1.4409E-033   1.2065E-033   1.1032E-037   1.1024E-037 
  8.091663343E+014   1.1991E+002   4.7716E+002   3.9834E+000   3.9516E+000   3.5059E-005   3.4060E-005   2.5554E-008   2.4983E-008   7.6605E-012   7.3369E-012   1.9203E-012   1.8004E-012   5.3926E-018   5.1857E-018   6.4278E-022   5.7338E-022   1.1939E-026   1.1627E-026   1.2887E-033   1.0790E-033   9.8663E-038   9.8592E-038 
  8.104918998E+014   1.2204E+002   4.5495E+002   3.9084E+000   3.8772E+000   3.4399E-005   3.3419E-005   2.5072E-008   2.4512E-008   7.5163E-012   7.1988E-012   1.8841E-012   1.7665E-012   5.2911E-018   5.0880E-018   6.3067E-022   5.6259E-022   1.1715E-026   1.1408E-026   1.2644E-033   1.0587E-033   9.6805E-038   9.6736E-038 
  8.111475984E+014   1.2311E+002   4.4778E+002   3.8929E+000   3.8619E+000   3.4263E-005   3.3287E-005   2.4974E-008   2.4416E-008   7.4866E-012   7.1704E-012   1.8767E-012   1.7595E-012   5.2702E-018   5.0679E-018   6.2818E-022   5.6037E-022   1.1668E-026   1.1363E-026   1.2594E-033   1.0545E-033   9.6423E-038   9.6354E-038 
  8.113478950E+014   1.2345E+002   4.4562E+002   3.8720E+000   3.8411E+000   3.4079E-005   3.3107E-005   2.4839E-008   2.4284E-008   7.4463E-012   7.1317E-012   1.8666E-012   1.7500E-012   5.2418E-018   5.0406E-018   6.2480E-022   5.5735E-022   1.1605E-026   1.1302E-026   1.2526E-033   1.0488E-033   9.5904E-038   9.5835E-038 
  8.115481916E+014   1.2378E+002   4.4347E+002   3.8438E+000   3.8132E+000   3.3831E-005   3.2867E-005   2.4658E-008   2.4108E-008   7.3922E-012   7.0799E-012   1.8530E-012   1.7373E-012   5.2037E-018   5.0040E-018   6.2026E-022   5.5330E-022   1.1521E-026   1.1220E-026   1.2435E-033   1.0412E-033   9.5207E-038   9.5138E-038 
  8.116870249E+014   1.2401E+002   4.4198E+002   3.8205E+000   3.7900E+000   3.3626E-005   3.2667E-005   2.4509E-008   2.3961E-008   7.3473E-012   7.0369E-012   1.8417E-012   1.7268E-012   5.1721E-018   4.9736E-018   6.1649E-022   5.4994E-022   1.1451E-026   1.1152E-026   1.2360E-033   1.0349E-033   9.4628E-038   9.4560E-038 
  8.117804142E+014   1.2417E+002   4.4097E+002   3.8031E+000   3.7728E+000   3.3473E-005   3.2519E-005   2.4397E-008   2.3852E-008   7.3139E-012   7.0049E-012   1.8334E-012   1.7189E-012   5.1486E-018   4.9510E-018   6.1369E-022   5.4744E-022   1.1399E-026   1.1101E-026   1.2304E-033   1.0302E-033   9.4199E-038   9.4131E-038 
  8.118497839E+014   1.2428E+002   4.4023E+002   3.7894E+000   3.7593E+000   3.3352E-005   3.2402E-005   2.4310E-008   2.3767E-008   7.2876E-012   6.9797E-012   1.8268E-012   1.7127E-012   5.1301E-018   4.9332E-018   6.1148E-022   5.4547E-022   1.1358E-026   1.1061E-026   1.2259E-033   1.0265E-033   9.3860E-038   9.3792E-038 
  8.119243751E+014   1.2441E+002   4.3943E+002   3.7740E+000   3.7439E+000   3.3217E-005   3.2270E-005   2.4211E-008   2.3670E-008   7.2579E-012   6.9513E-012   1.8193E-012   1.7058E-012   5.1092E-018   4.9131E-018   6.0899E-022   5.4325E-022   1.1312E-026   1.1016E-026   1.2209E-033   1.0223E-033   9.3477E-038   9.3410E-038 
  8.132729303E+014   1.2670E+002   4.2524E+002   3.4070E+000   3.3799E+000   2.9986E-005   2.9132E-005   2.1856E-008   2.1368E-008   6.5521E-012   6.2753E-012   1.6424E-012   1.5399E-012   4.6124E-018   4.4353E-018   5.4977E-022   4.9042E-022   1.0212E-026   9.9450E-027   1.1022E-033   9.2290E-034   8.4387E-038   8.4326E-038 
  8.146849447E+014   1.2916E+002   4.1133E+002   2.9534E+000   2.9299E+000   2.5994E-005   2.5253E-005   1.8946E-008   1.8523E-008   5.6798E-012   5.4398E-012   1.4237E-012   1.3349E-012   3.9983E-018   3.8448E-018   4.7657E-022   4.2512E-022   8.8522E-027   8.6209E-027   9.5545E-034   8.0002E-034   7.3152E-038   7.3099E-038 
  8.157164601E+014   1.3100E+002   4.0169E+002   2.6217E+000   2.6008E+000   2.3074E-005   2.2417E-005   1.6818E-008   1.6443E-008   5.0418E-012   4.8288E-012   1.2638E-012   1.1849E-012   3.5492E-018   3.4130E-018   4.2305E-022   3.7738E-022   7.8579E-027   7.6526E-027   8.4814E-034   7.1016E-034   6.4936E-038   6.4889E-038 
  8.166706446E+014   1.3273E+002   3.9288E+002   2.3196E+000   2.3011E+000   2.0415E-005   1.9833E-005   1.4880E-008   1.4548E-008   4.4608E-012   4.2724E-012   1.1182E-012   1.0484E-012   3.1402E-018   3.0197E-018   3.7430E-022   3.3389E-022   6.9524E-027   6.7708E-027   7.5040E-034   6.2833E-034   5.7453E-038   5.7411E-038 
  8.174573022E+014   1.3418E+002   3.8545E+002   2.0716E+000   2.0551E+000   1.8233E-005   1.7714E-005   1.3290E-008   1.2993E-008   3.9840E-012   3.8157E-012   9.9867E-013   9.3633E-013   2.8045E-018   2.6969E-018   3.3429E-022   2.9820E-022   6.2093E-027   6.0470E-027   6.7019E-034   5.6117E-034   5.1312E-038   5.1275E-038 
  8.183551252E+014   1.3585E+002   3.7643E+002   1.7861E+000   1.7719E+000   1.5720E-005   1.5272E-005   1.1458E-008   1.1202E-008   3.4350E-012   3.2898E-012   8.6104E-013   8.0729E-013   2.4180E-018   2.3252E-018   2.8822E-022   2.5710E-022   5.3535E-027   5.2137E-027   5.7783E-034   4.8383E-034   4.4240E-038   4.4208E-038 
  8.210410925E+014   1.4101E+002   3.4144E+002   8.9354E-001   8.8642E-001   7.8644E-006   7.6402E-006   5.7321E-009   5.6041E-009   1.7184E-012   1.6458E-012   4.3075E-013   4.0386E-013   1.2097E-018   1.1632E-018   1.4419E-022   1.2862E-022   2.6782E-027   2.6082E-027   2.8907E-034   2.4204E-034   2.2132E-038   2.2116E-038 
  8.226955692E+014   1.4431E+002   3.0816E+002   3.7393E-001   3.7095E-001   3.2911E-006   3.1973E-006   2.3988E-009   2.3452E-009   7.1911E-013   6.8873E-013   1.8026E-013   1.6901E-013   5.0622E-019   4.8679E-019   6.0339E-023   5.3825E-023   1.1208E-027   1.0915E-027   1.2097E-034   1.0129E-034   9.2617E-039   9.2550E-039 
  8.241259020E+014   1.4725E+002   2.6750E+002   8.6265E-002   8.5578E-002   7.5925E-007   7.3761E-007   5.5339E-010   5.4103E-010   1.6590E-013   1.5889E-013   4.1586E-014   3.8990E-014   1.1678E-019   1.1230E-019   1.3920E-023   1.2417E-023   2.5856E-028   2.5180E-028   2.7908E-035   2.3368E-035   2.1367E-039   2.1351E-039 
  8.250183646E+014   1.4913E+002   2.3549E+002   1.7908E-002   1.7765E-002   1.5761E-007   1.5312E-007   1.1488E-010   1.1231E-010   3.4439E-014   3.2984E-014   8.6329E-015   8.0940E-015   2.4244E-020   2.3313E-020   2.8897E-024   2.5777E-024   5.3675E-029   5.2273E-029   5.7934E-036   4.8509E-036   4.4356E-040   4.4324E-040 
  8.257147806E+014   1.5063E+002   2.0719E+002   3.2253E-003   3.1996E-003   2.8387E-008   2.7578E-008   2.0690E-011   2.0228E-011   6.2026E-015   5.9406E-015   1.5548E-015   1.4577E-015   4.3663E-021   4.1987E-021   5.2044E-025   4.6426E-025   9.6670E-030   9.4145E-030   1.0434E-036   8.7367E-037   7.9886E-041   7.9828E-041 
  8.257582500E+014   1.5072E+002   2.0535E+002   2.8700E-003   2.8471E-003   2.5260E-008   2.4540E-008   1.8411E-011   1.8000E-011   5.5194E-015   5.2862E-015   1.3835E-015   1.2972E-015   3.8853E-021   3.7362E-021   4.6311E-025   4.1312E-025   8.6022E-030   8.3774E-030   9.2847E-037   7.7743E-037   7.1086E-041   7.1035E-041 
  8.262074480E+014   1.5170E+002   1.8588E+002   9.4325E-004   9.3573E-004   8.3019E-009   8.0652E-009   6.0510E-012   5.9158E-012   1.8140E-015   1.7374E-015   4.5471E-016   4.2633E-016   1.2770E-021   1.2279E-021   1.5221E-025   1.3577E-025   2.8272E-030   2.7533E-030   3.0515E-037   2.5551E-037   2.3363E-041   2.3346E-041 
  8.267273402E+014   1.5285E+002   1.6286E+002   5.0595E-004   5.0192E-004   4.4531E-009   4.3261E-009   3.2457E-012   3.1732E-012   9.7301E-016   9.3190E-016   2.4390E-016   2.2868E-016   6.8495E-022   6.5866E-022   8.1643E-026   7.2829E-026   1.5165E-030   1.4769E-030   1.6368E-037   1.3705E-037   1.2532E-041   1.2523E-041 
  8.269693718E+014   1.5339E+002   1.5218E+002   4.7243E-004   4.6867E-004   4.1581E-009   4.0395E-009   3.0307E-012   2.9630E-012   9.0855E-016   8.7016E-016   2.2775E-016   2.1353E-016   6.3957E-022   6.1503E-022   7.6234E-026   6.8004E-026   1.4160E-030   1.3790E-030   1.5284E-037   1.2797E-037   1.1702E-041   1.1693E-041 
  8.272301018E+014   1.5398E+002   1.4083E+002   4.6235E-004   4.5867E-004   4.0693E-009   3.9533E-009   2.9660E-012   2.8998E-012   8.8916E-016   8.5160E-016   2.2289E-016   2.0897E-016   6.2592E-022   6.0190E-022   7.4607E-026   6.6553E-026   1.3858E-030   1.3496E-030   1.4958E-037   1.2524E-037   1.1452E-041   1.1444E-041 
  8.273179112E+014   1.5418E+002   1.3706E+002   4.6109E-004   4.5742E-004   4.0582E-009   3.9426E-009   2.9579E-012   2.8919E-012   8.8674E-016   8.4928E-016   2.2228E-016   2.0840E-016   6.2422E-022   6.0026E-022   7.4404E-026   6.6371E-026   1.3820E-030   1.3459E-030   1.4917E-037   1.2490E-037   1.1421E-041   1.1412E-041 
  8.275734010E+014   1.5476E+002   1.2629E+002   4.5928E-004   4.5562E-004   4.0423E-009   3.9271E-009   2.9463E-012   2.8805E-012   8.8326E-016   8.4594E-016   2.2141E-016   2.0758E-016   6.2177E-022   5.9791E-022   7.4112E-026   6.6111E-026   1.3766E-030   1.3406E-030   1.4858E-037   1.2441E-037   1.1376E-041   1.1368E-041 
  8.279447239E+014   1.5561E+002   1.1132E+002   4.5755E-004   4.5390E-004   4.0270E-009   3.9122E-009   2.9352E-012   2.8696E-012   8.7992E-016   8.4275E-016   2.2057E-016   2.0680E-016   6.1942E-022   5.9565E-022   7.3832E-026   6.5861E-026   1.3714E-030   1.3356E-030   1.4802E-037   1.2394E-037   1.1333E-041   1.1325E-041 
  8.281230843E+014   1.5602E+002   1.0449E+002   4.5654E-004   4.5291E-004   4.0182E-009   3.9037E-009   2.9288E-012   2.8633E-012   8.7799E-016   8.4090E-016   2.2009E-016   2.0635E-016   6.1806E-022   5.9434E-022   7.3670E-026   6.5717E-026   1.3684E-030   1.3326E-030   1.4770E-037   1.2367E-037   1.1308E-041   1.1300E-041 
  8.282387048E+014   1.5628E+002   1.0020E+002   4.5581E-004   4.5218E-004   4.0118E-009   3.8974E-009   2.9241E-012   2.8588E-012   8.7659E-016   8.3955E-016   2.1973E-016   2.0602E-016   6.1707E-022   5.9339E-022   7.3552E-026   6.5612E-026   1.3662E-030   1.3305E-030   1.4746E-037   1.2347E-037   1.1290E-041   1.1282E-041 
