     distance         timeN            Tn           0.0           0.1          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          **** 
  2.930484190E+007   8.0332E-007   3.3414E+004   3.3335E-001   3.3070E-001   2.9340E-006   2.8503E-006   2.1385E-009   2.0907E-009   6.4108E-013   6.1400E-013   1.6070E-013   1.5067E-013   4.5129E-019   4.3397E-019   5.3792E-023   4.7984E-023   9.9916E-028   9.7305E-028   1.0784E-034   9.0299E-035   8.2567E-039   8.2508E-039 
  3.892944018E+007   1.2909E-006   3.3413E+004   6.9613E-001   6.9058E-001   6.1269E-006   5.9523E-006   4.4657E-009   4.3660E-009   1.3387E-012   1.2822E-012   3.3558E-013   3.1463E-013   9.4241E-019   9.0624E-019   1.1233E-022   1.0020E-022   2.0865E-027   2.0320E-027   2.2520E-034   1.8857E-034   1.7242E-038   1.7230E-038 
  5.723026515E+007   2.2179E-006   3.3411E+004   1.1521E+000   1.1429E+000   1.0140E-005   9.8512E-006   7.3910E-009   7.2259E-009   2.2157E-012   2.1221E-012   5.5541E-013   5.2073E-013   1.5597E-018   1.4999E-018   1.8591E-022   1.6584E-022   3.4532E-027   3.3630E-027   3.7272E-034   3.1209E-034   2.8537E-038   2.8516E-038 
  9.645062676E+007   4.2050E-006   3.3407E+004   1.5235E+000   1.5113E+000   1.3409E-005   1.3026E-005   9.7731E-009   9.5548E-009   2.9298E-012   2.8060E-012   7.3441E-013   6.8857E-013   2.0624E-018   1.9833E-018   2.4583E-022   2.1929E-022   4.5662E-027   4.4469E-027   4.9285E-034   4.1268E-034   3.7734E-038   3.7707E-038 
  1.478766991E+008   6.8108E-006   3.3402E+004   1.4921E+000   1.4802E+000   1.3133E-005   1.2758E-005   9.5719E-009   9.3581E-009   2.8695E-012   2.7483E-012   7.1930E-013   6.7440E-013   2.0200E-018   1.9425E-018   2.4077E-022   2.1478E-022   4.4723E-027   4.3554E-027   4.8271E-034   4.0418E-034   3.6957E-038   3.6931E-038 
  1.836939863E+008   8.6260E-006   3.3398E+004   1.3659E+000   1.3550E+000   1.2022E-005   1.1679E-005   8.7624E-009   8.5666E-009   2.6268E-012   2.5158E-012   6.5846E-013   6.1736E-013   1.8491E-018   1.7782E-018   2.2041E-022   1.9661E-022   4.0940E-027   3.9870E-027   4.4188E-034   3.7000E-034   3.3832E-038   3.3807E-038 
  2.602677954E+008   1.2507E-005   3.3390E+004   1.0661E+000   1.0576E+000   9.3835E-006   9.1160E-006   6.8394E-009   6.6866E-009   2.0503E-012   1.9637E-012   5.1396E-013   4.8187E-013   1.4433E-018   1.3879E-018   1.7204E-022   1.5347E-022   3.1955E-027   3.1120E-027   3.4491E-034   2.8880E-034   2.6407E-038   2.6388E-038 
  4.717893789E+008   2.3235E-005   3.3367E+004   5.0198E-001   4.9798E-001   4.4182E-006   4.2922E-006   3.2203E-009   3.1483E-009   9.6538E-013   9.2460E-013   2.4199E-013   2.2689E-013   6.7958E-019   6.5350E-019   8.1003E-023   7.2258E-023   1.5046E-027   1.4653E-027   1.6240E-034   1.3598E-034   1.2433E-038   1.2425E-038 
  7.756203642E+008   3.8659E-005   3.3333E+004   1.7240E-001   1.7103E-001   1.5174E-006   1.4741E-006   1.1060E-009   1.0813E-009   3.3155E-013   3.1754E-013   8.3109E-014   7.7921E-014   2.3339E-019   2.2443E-019   2.7819E-023   2.4816E-023   5.1673E-028   5.0323E-028   5.5773E-035   4.6700E-035   4.2701E-039   4.2670E-039 
  1.362008401E+009   6.8477E-005   3.3266E+004   3.3229E-002   3.2965E-002   2.9247E-007   2.8413E-007   2.1317E-010   2.0841E-010   6.3904E-014   6.1205E-014   1.6019E-014   1.5019E-014   4.4986E-020   4.3259E-020   5.3621E-024   4.7832E-024   9.9598E-029   9.6996E-029   1.0750E-035   9.0012E-036   8.2305E-040   8.2246E-040 
