     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.822776475E+011   2.3105E-003   1.0000E+001   2.4312E-018   5.5686E-058   2.9945E-058   6.5860E-058   9.1625E-058   8.7567E-031   1.8801E-039   8.4426E-015   1.5614E-015   2.7885E-026   9.4075E-027   1.2249E-025   5.1126E-034   1.2065E-019   1.2350E-024   1.2983E-033   4.1567E-034   0.0000E+000   0.0000E+000   1.4099E-023   1.0915E-028   2.8750E-041   5.4103E-038   1.5930E-037   0.0000E+000   0.0000E+000   5.5441E-034 
  2.528230723E+011   3.2047E-003   1.0000E+001   3.3721E-018   6.5732E-058   3.5347E-058   7.7741E-058   1.0815E-057   1.0336E-030   2.6078E-039   1.1710E-014   2.1657E-015   3.4449E-026   1.1622E-026   1.6990E-025   7.0913E-034   1.6734E-019   1.7130E-024   1.7052E-033   5.4594E-034   0.0000E+000   0.0000E+000   1.9556E-023   1.5139E-028   3.9889E-041   7.5065E-038   2.2103E-037   0.0000E+000   0.0000E+000   7.6898E-034 
  8.718969684E+011   1.1052E-002   1.0000E+001   1.1629E-017   2.7777E-057   1.4937E-057   3.2852E-057   4.5704E-057   4.3679E-030   8.9933E-039   4.0384E-014   7.4687E-015   1.1300E-025   3.8123E-026   5.8592E-025   2.4455E-033   5.7711E-019   5.9075E-024   3.2130E-033   1.0287E-033   0.0000E+000   0.0000E+000   6.7441E-023   5.2208E-028   1.2869E-040   2.4218E-037   7.1310E-037   0.0000E+000   0.0000E+000   2.6519E-033 
  2.135810101E+012   2.7072E-002   1.0000E+001   2.8487E-017   6.5020E-057   3.4964E-057   7.6899E-057   1.0698E-056   1.0224E-029   2.2030E-038   9.8925E-014   1.8295E-014   2.1130E-025   7.1286E-026   1.4353E-024   5.9906E-033   1.4137E-018   1.4471E-023   1.2389E-032   3.9667E-033   0.0000E+000   0.0000E+000   1.6520E-022   1.2789E-027   3.2626E-040   6.1397E-037   1.8078E-036   0.0000E+000   0.0000E+000   6.4962E-033 
  8.140915764E+012   1.0319E-001   1.0000E+001   1.0858E-016   2.1506E-056   1.1564E-056   2.5435E-056   3.5385E-056   3.3818E-029   8.3968E-038   3.7706E-013   6.9735E-014   7.0828E-025   2.3895E-025   5.4707E-024   2.2833E-032   5.3884E-018   5.5157E-023   3.0832E-032   9.8717E-033   0.0000E+000   0.0000E+000   6.2971E-022   4.8747E-027   1.6826E-039   3.1664E-036   9.3234E-036   0.0000E+000   0.0000E+000   2.4760E-032 
  3.361321611E+013   4.2606E-001   9.9999E+000   4.4831E-016   5.6329E-056   3.0291E-056   6.6620E-056   9.2683E-056   8.8578E-029   3.4666E-037   1.5569E-012   2.8792E-013   4.7024E-024   1.5864E-024   2.2587E-023   9.4270E-032   2.2247E-017   2.2772E-022   2.1393E-031   6.8496E-032   0.0000E+000   0.0000E+000   2.5999E-021   2.0126E-026   5.3343E-039   1.0038E-035   2.9558E-035   0.0000E+000   0.0000E+000   1.0222E-031 
  1.232722470E+014   1.5625E+000   9.9998E+000   1.6440E-015   1.3858E-055   7.4519E-056   1.6390E-055   2.2802E-055   2.1792E-028   1.2709E-036   5.7095E-012   1.0559E-012   1.0445E-023   3.5237E-024   8.2828E-023   3.4562E-031   8.1571E-017   8.3489E-022   6.3397E-031   2.0298E-031   0.0000E+000   0.0000E+000   9.5297E-021   7.3762E-026   1.2060E-038   2.2696E-035   6.6827E-035   0.0000E+000   0.0000E+000   3.7468E-031 
  6.900748874E+014   8.7471E+000   9.9986E+000   9.1984E-015   3.1904E-055   1.7156E-055   3.7733E-055   5.2495E-055   5.0170E-028   7.0976E-036   3.1958E-011   5.9088E-012   7.8471E-023   2.6474E-023   4.6337E-022   1.9312E-030   4.5603E-016   4.6649E-021   1.6881E-030   5.4049E-031   0.0000E+000   0.0000E+000   5.3279E-020   4.1211E-025   1.0420E-037   1.9609E-034   5.7739E-034   0.0000E+000   0.0000E+000   2.0906E-030 
  1.631803929E+015   2.0684E+001   9.9967E+000   2.1732E-014   2.2911E-054   1.2320E-054   2.7097E-054   3.7698E-054   3.6028E-027   1.6718E-035   7.5558E-011   1.3965E-011   1.2348E-022   4.1660E-023   1.0946E-021   4.5528E-030   1.0760E-015   1.0997E-020   4.5046E-030   1.4423E-030   0.0000E+000   0.0000E+000   1.2588E-019   9.7262E-025   2.6160E-037   4.9230E-034   1.4496E-033   0.0000E+000   0.0000E+000   4.9167E-030 
  2.573532971E+015   3.2621E+001   9.9948E+000   3.4243E-014   2.2911E-054   1.2320E-054   2.7097E-054   3.7698E-054   3.6028E-027   2.6263E-035   1.1914E-010   2.2012E-011   1.6617E-022   5.6061E-023   1.7244E-021   7.1583E-030   1.6932E-015   1.7289E-020   6.6014E-030   2.1136E-030   0.0000E+000   0.0000E+000   1.9839E-019   1.5311E-024   4.5781E-037   8.6153E-034   2.5368E-033   0.0000E+000   0.0000E+000   7.7122E-030 
  3.837665157E+015   4.8644E+001   9.9923E+000   5.1001E-014   4.2687E-054   2.2955E-054   5.0486E-054   7.0237E-054   6.7126E-027   3.8959E-035   1.7763E-010   3.2801E-011   2.3561E-022   7.9488E-023   2.5679E-021   1.0631E-029   2.5176E-015   2.5674E-020   1.2798E-029   4.0976E-030   0.0000E+000   0.0000E+000   2.9557E-019   2.2777E-024   6.2081E-037   1.1683E-033   3.4400E-033   0.0000E+000   0.0000E+000   1.1417E-029 
  2.347985182E+016   2.9762E+002   9.9533E+000   3.0626E-013   4.2687E-054   2.2955E-054   5.0486E-054   7.0237E-054   6.7126E-027   2.1994E-034   1.0829E-009   1.9845E-010   2.7463E-021   9.2650E-022   1.5376E-020   6.1117E-029   1.4725E-014   1.4738E-019   6.7611E-029   2.1647E-029   0.0000E+000   0.0000E+000   1.7839E-018   1.3434E-023   1.5890E-036   2.9903E-033   8.8049E-033   0.0000E+000   0.0000E+000   6.2586E-029 
  9.116676809E+016   1.1556E+003   9.8258E+000   1.1178E-012   1.5775E-052   8.4830E-053   1.8657E-052   2.5956E-052   2.4807E-025   6.6216E-034   4.1532E-009   7.4205E-010   7.1124E-021   2.3995E-021   5.5681E-020   1.9458E-028   4.9382E-014   4.6639E-019   2.2777E-028   7.2924E-029   0.0000E+000   0.0000E+000   6.6214E-018   4.6281E-023   9.6211E-036   1.8105E-032   5.3311E-032   0.0000E+000   0.0000E+000   1.7302E-028 
  1.647828898E+017   2.0887E+003   9.6987E+000   1.8963E-012   2.3426E-052   1.2597E-052   2.7706E-052   3.8546E-052   3.6839E-025   9.4116E-034   7.4073E-009   1.2894E-009   1.2799E-020   4.3179E-021   9.3877E-020   2.9035E-028   7.7171E-014   6.9128E-019   2.5595E-028   8.1947E-029   0.0000E+000   0.0000E+000   1.1427E-017   7.4201E-023   1.2949E-035   2.4368E-032   7.1750E-032   0.0000E+000   0.0000E+000   2.2946E-028 
  2.383990116E+017   3.0218E+003   9.5826E+000   2.5848E-012   3.4835E-052   1.8732E-052   4.1199E-052   5.7317E-052   5.4778E-025   1.1050E-033   1.0576E-008   1.7962E-009   1.8960E-020   6.3966E-021   1.2734E-019   3.5420E-028   9.7778E-014   8.3821E-019   3.9628E-028   1.2688E-028   0.0000E+000   0.0000E+000   1.5825E-017   9.6128E-023   2.5220E-035   4.7460E-032   1.3974E-031   0.0000E+000   0.0000E+000   2.5630E-028 
  7.887101696E+017   9.9973E+003   8.9768E+000   6.0201E-012   1.4177E-051   7.6237E-052   1.6767E-051   2.3327E-051   2.2294E-024   1.3832E-033   3.1918E-008   4.6900E-009   9.3749E-020   3.1628E-020   2.9056E-019   4.9994E-028   1.5941E-013   1.1561E-018   8.7600E-028   2.8047E-028   0.0000E+000   0.0000E+000   4.0324E-017   1.7304E-022   8.8373E-035   1.6630E-031   4.8968E-031   0.0000E+000   0.0000E+000   2.8588E-028 
  2.870984921E+018   3.6391E+004   8.3681E+000   1.1730E-011   2.5018E-051   1.3454E-051   2.9589E-051   4.1165E-051   3.9342E-024   1.4186E-033   9.3023E-008   1.0638E-008   3.8200E-019   1.2887E-019   5.4963E-019   5.4015E-028   1.9219E-013   1.2324E-018   1.0636E-027   3.4054E-028   0.0000E+000   0.0000E+000   9.1978E-017   2.3254E-022   1.7954E-034   3.3786E-031   9.9483E-031   0.0000E+000   0.0000E+000   2.8696E-028 
  5.575657559E+018   7.0674E+004   8.3062E+000   1.6982E-011   3.4720E-051   1.8670E-051   4.1063E-051   5.7128E-051   5.4598E-024   1.4258E-033   1.5849E-007   1.6177E-008   4.5198E-019   1.5248E-019   7.7925E-019   5.5391E-028   2.0925E-013   1.2568E-018   1.0973E-027   3.5131E-028   0.0000E+000   0.0000E+000   1.4520E-016   2.7071E-022   2.5320E-034   4.7648E-031   1.4030E-030   0.0000E+000   0.0000E+000   2.8705E-028 
  1.546905962E+019   1.9608E+005   8.2937E+000   3.5364E-011   4.5306E-051   2.4363E-051   5.3584E-051   7.4547E-051   7.1245E-024   1.4468E-033   3.7743E-007   3.4430E-008   7.3439E-019   2.4776E-019   1.5433E-018   5.9616E-028   2.6734E-013   1.3368E-018   1.7389E-027   5.5673E-028   0.0000E+000   0.0000E+000   3.3322E-016   3.9963E-022   4.7305E-034   8.9021E-031   2.6212E-030   0.0000E+000   0.0000E+000   2.8729E-028 
