     Distance         timeN            Tn        a6D-J9        a6D-J7        a6D-J5        a6D-J3        a6D-J1        a4F-J9        a4F-J7        a4F-J5        a4F-J3        a4D-J7        a4D-J5        a4D-J3        a4D-J1        a4P-J5        a4P-J3        a4P-J1        b4P-J5        b4P-J3        b4P-J1       a4H-J13       a4H-J11        a4H-J9        a4H-J7        b4F-J9        b4F-J7        b4F-J5        b4F-J3       a4G-J11        a4G-J9        a4G-J7        a4G-J5        b4D-J7        b4D-J5        b4D-J3        b4D-J1 
  1.069979916E+007   1.5074E-007   4.0228E+003   8.9891E-001   3.3577E-002   2.4606E-002   2.2713E-002   2.0174E-002   2.0074E-005   3.4269E-007   2.5535E-007   2.5549E-007   1.2941E-008   8.2313E-009   5.3222E-009   2.6890E-009   3.6647E-010   2.5612E-010   1.1940E-010   1.0373E-012   4.0587E-013   1.5183E-013   4.0518E-012   3.4730E-012   2.8970E-012   2.3415E-012   9.6108E-013   8.4353E-013   7.4004E-013   5.9320E-013   3.3517E-013   2.3796E-013   1.8163E-013   1.3512E-013   1.8868E-014   1.5974E-014   1.0836E-014   5.3290E-015 
  1.256066231E+007   1.8442E-007   6.8228E+003   8.7819E-001   3.9765E-002   2.9811E-002   2.7785E-002   2.4417E-002   2.8873E-005   6.7358E-007   5.1326E-007   5.1269E-007   5.1100E-008   3.4379E-008   2.3029E-008   1.1768E-008   3.2265E-009   2.3175E-009   1.1113E-009   2.6975E-011   1.2169E-011   4.9648E-012   1.1173E-010   9.8253E-011   8.3870E-011   6.9308E-011   3.2557E-011   2.9269E-011   2.6166E-011   2.1262E-011   1.7018E-011   1.2770E-011   1.0002E-011   7.5211E-012   2.3291E-012   1.9445E-012   1.3144E-012   6.4683E-013 
  1.708620057E+007   2.8704E-007   1.6684E+004   8.3178E-001   5.5483E-002   4.2113E-002   3.8698E-002   3.1876E-002   4.5895E-005   2.4759E-006   1.8303E-006   1.6295E-006   2.5268E-007   1.7573E-007   1.1889E-007   5.7738E-008   3.2904E-008   2.3905E-008   1.1508E-008   6.8023E-010   3.4503E-010   1.5129E-010   2.9312E-009   2.6329E-009   2.2931E-009   1.9349E-009   1.0185E-009   9.3379E-010   8.4822E-010   6.9703E-010   7.4886E-010   5.8898E-010   4.7152E-010   3.5784E-010   2.1795E-010   1.7981E-010   1.2118E-010   5.9670E-011 
  2.431497474E+007   5.5373E-007   3.1842E+004   7.5534E-001   8.4612E-002   6.3732E-002   5.5686E-002   4.0509E-002   8.9333E-005   1.0985E-005   7.5691E-006   5.5069E-006   1.1744E-006   8.0933E-007   5.2843E-007   2.2963E-007   2.1140E-007   1.5091E-007   7.0126E-008   5.9243E-009   3.1176E-009   1.3999E-009   2.5686E-008   2.3226E-008   2.0362E-008   1.7306E-008   9.4715E-009   8.7353E-009   7.9739E-009   6.5713E-009   7.7884E-009   6.2214E-009   5.0167E-009   3.8186E-009   2.9072E-009   2.3889E-009   1.6084E-009   7.9213E-010 
  2.698824477E+007   6.8597E-007   3.3415E+004   7.4529E-001   8.8612E-002   6.6656E-002   5.7838E-002   4.1446E-002   1.2296E-004   1.6272E-005   1.1130E-005   7.9303E-006   1.7611E-006   1.2111E-006   7.8647E-007   3.3732E-007   3.2486E-007   2.3124E-007   1.0686E-007   9.2812E-009   4.8936E-009   2.2003E-009   4.0241E-008   3.6400E-008   3.1920E-008   2.7139E-008   1.4887E-008   1.3733E-008   1.2539E-008   1.0333E-008   1.2313E-008   9.8434E-009   7.9402E-009   6.0448E-009   4.6558E-009   3.8250E-009   2.5751E-009   1.2683E-009 
  2.699596932E+007   6.8636E-007   3.3415E+004   7.4529E-001   8.8612E-002   6.6656E-002   5.7838E-002   4.1446E-002   1.2306E-004   1.6285E-005   1.1139E-005   7.9369E-006   1.7626E-006   1.2121E-006   7.8712E-007   3.3760E-007   3.2513E-007   2.3143E-007   1.0695E-007   9.2888E-009   4.8977E-009   2.2021E-009   4.0274E-008   3.6430E-008   3.1947E-008   2.7161E-008   1.4899E-008   1.3745E-008   1.2549E-008   1.0342E-008   1.2323E-008   9.8515E-009   7.9468E-009   6.0498E-009   4.6597E-009   3.8282E-009   2.5772E-009   1.2693E-009 
  2.930484190E+007   8.0332E-007   3.3414E+004   7.4525E-001   8.8610E-002   6.6654E-002   5.7835E-002   4.1442E-002   1.5325E-004   2.0281E-005   1.3873E-005   9.8844E-006   2.1948E-006   1.5095E-006   9.8024E-007   4.2043E-007   4.0491E-007   2.8822E-007   1.3319E-007   1.1568E-008   6.0995E-009   2.7425E-009   5.0156E-008   4.5369E-008   3.9786E-008   3.3826E-008   1.8555E-008   1.7117E-008   1.5628E-008   1.2880E-008   1.5347E-008   1.2269E-008   9.8968E-009   7.5344E-009   5.8031E-009   4.7676E-009   3.2097E-009   1.5808E-009 
  3.892944018E+007   1.2909E-006   3.3413E+004   7.4513E-001   8.8603E-002   6.6648E-002   5.7827E-002   4.1429E-002   2.7638E-004   3.6578E-005   2.5020E-005   1.7827E-005   3.9578E-006   2.7225E-006   1.7679E-006   7.5824E-007   7.3029E-007   5.1982E-007   2.4022E-007   2.0864E-008   1.1001E-008   4.9464E-009   9.0461E-008   8.1827E-008   7.1758E-008   6.1009E-008   3.3465E-008   3.0873E-008   2.8187E-008   2.3230E-008   2.7679E-008   2.2128E-008   1.7850E-008   1.3589E-008   1.0466E-008   8.5987E-009   5.7889E-009   2.8511E-009 
  5.723026515E+007   2.2179E-006   3.3411E+004   7.4489E-001   8.8591E-002   6.6636E-002   5.7811E-002   4.1405E-002   5.0089E-004   6.6296E-005   4.5347E-005   3.2310E-005   7.1730E-006   4.9344E-006   3.2042E-006   1.3743E-006   1.3237E-006   9.4218E-007   4.3540E-007   3.7817E-008   1.9940E-008   8.9654E-009   1.6396E-007   1.4831E-007   1.3006E-007   1.1058E-007   6.0656E-008   5.5957E-008   5.1090E-008   4.2105E-008   5.0168E-008   4.0107E-008   3.2353E-008   2.4630E-008   1.8970E-008   1.5585E-008   1.0492E-008   5.1675E-009 
  9.645062676E+007   4.2050E-006   3.3407E+004   7.4442E-001   8.8566E-002   6.6612E-002   5.7779E-002   4.1357E-002   9.5593E-004   1.2654E-004   8.6555E-005   6.1669E-005   1.3691E-005   9.4190E-006   6.1163E-006   2.6232E-006   2.5267E-006   1.7985E-006   8.3112E-007   7.2186E-008   3.8061E-008   1.7113E-008   3.1298E-007   2.8310E-007   2.4827E-007   2.1108E-007   1.1578E-007   1.0681E-007   9.7521E-008   8.0370E-008   9.5761E-008   7.6556E-008   6.1755E-008   4.7013E-008   3.6208E-008   2.9747E-008   2.0027E-008   9.8634E-009 
  1.478766991E+008   6.8108E-006   3.3402E+004   7.4382E-001   8.8535E-002   6.6583E-002   5.7739E-002   4.1297E-002   1.5271E-003   2.0218E-004   1.3829E-004   9.8527E-005   2.1877E-005   1.5050E-005   9.7729E-006   4.1914E-006   4.0373E-006   2.8737E-006   1.3280E-006   1.1534E-007   6.0816E-008   2.7344E-008   5.0008E-007   4.5235E-007   3.9669E-007   3.3727E-007   1.8500E-007   1.7067E-007   1.5582E-007   1.2842E-007   1.5301E-007   1.2232E-007   9.8671E-008   7.5117E-008   5.7851E-008   4.7528E-008   3.1997E-008   1.5759E-008 
  1.836939863E+008   8.6260E-006   3.3398E+004   7.4341E-001   8.8514E-002   6.6564E-002   5.7711E-002   4.1256E-002   1.9174E-003   2.5389E-004   1.7366E-004   1.2372E-004   2.7474E-005   1.8901E-005   1.2273E-005   5.2637E-006   5.0702E-006   3.6089E-006   1.6677E-006   1.4485E-007   7.6373E-008   3.4339E-008   6.2801E-007   5.6807E-007   4.9817E-007   4.2354E-007   2.3232E-007   2.1432E-007   1.9568E-007   1.6127E-007   1.9214E-007   1.5361E-007   1.2391E-007   9.4332E-008   7.2646E-008   5.9684E-008   4.0181E-008   1.9789E-008 
  2.602677954E+008   1.2507E-005   3.3390E+004   7.4254E-001   8.8470E-002   6.6522E-002   5.7654E-002   4.1169E-002   2.7426E-003   3.6325E-004   2.4845E-004   1.7700E-004   3.9313E-005   2.7046E-005   1.7562E-005   7.5315E-006   7.2549E-006   5.1639E-006   2.3863E-006   2.0726E-007   1.0928E-007   4.9134E-008   8.9859E-007   8.1282E-007   7.1280E-007   6.0602E-007   3.3241E-007   3.0666E-007   2.7998E-007   2.3074E-007   2.7492E-007   2.1978E-007   1.7729E-007   1.3497E-007   1.0393E-007   8.5389E-008   5.7487E-008   2.8313E-008 
  4.717893789E+008   2.3235E-005   3.3367E+004   7.4018E-001   8.8351E-002   6.6410E-002   5.7499E-002   4.0934E-002   4.9896E-003   6.6134E-004   4.5232E-004   3.2219E-004   7.1602E-005   4.9259E-005   3.1983E-005   1.3715E-005   1.3213E-005   9.4044E-006   4.3456E-006   3.7743E-007   1.9900E-007   8.9473E-008   1.6364E-006   1.4802E-006   1.2980E-006   1.1036E-006   6.0532E-007   5.5842E-007   5.0984E-007   4.2018E-007   5.0058E-007   4.0018E-007   3.2281E-007   2.4575E-007   1.8922E-007   1.5545E-007   1.0466E-007   5.1544E-008 
  7.756203642E+008   3.8659E-005   3.3333E+004   7.3682E-001   8.8186E-002   6.6254E-002   5.7281E-002   4.0603E-002   8.1697E-003   1.0840E-003   7.4131E-004   5.2794E-004   1.1743E-004   8.0782E-005   5.2447E-005   2.2488E-005   2.1667E-005   1.5421E-005   7.1252E-006   6.1885E-007   3.2628E-007   1.4670E-007   2.6831E-006   2.4269E-006   2.1283E-006   1.8094E-006   9.9245E-007   9.1554E-007   8.3589E-007   6.8888E-007   8.2063E-007   6.5602E-007   5.2918E-007   4.0286E-007   3.1011E-007   2.5477E-007   1.7152E-007   8.4477E-008 
  1.362008401E+009   6.8477E-005   3.3266E+004   7.3041E-001   8.7878E-002   6.5961E-002   5.6870E-002   3.9981E-002   1.4215E-002   1.8899E-003   1.2923E-003   9.1996E-004   2.0497E-004   1.4100E-004   9.1528E-005   3.9235E-005   3.7813E-005   2.6911E-005   1.2432E-005   1.0797E-006   5.6923E-007   2.5592E-007   4.6811E-006   4.2342E-006   3.7131E-006   3.1567E-006   1.7313E-006   1.5971E-006   1.4582E-006   1.2017E-006   1.4313E-006   1.1441E-006   9.2289E-007   7.0258E-007   5.4057E-007   4.4412E-007   2.9900E-007   1.4726E-007 
