     distance         timeN            Tn             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.069979916E+007   1.5074E-007   4.0228E+003   2.8038E+000   4.8373E+000   2.6665E+000   7.1010E-001   9.9887E-002   7.6832E-003   3.2874E-004   7.9010E-006   1.0733E-007   8.2753E-010   3.6321E-012   9.0952E-015   1.3017E-017   1.0663E-020   5.0055E-024   1.3479E-027   2.0839E-031   1.8513E-035   9.4584E-040   2.7809E-044   4.7086E-049   4.6032E-054   2.5913E-059   8.4161E-065   1.5789E-070   1.7096E-076   1.0717E-082   3.8820E-089   8.1513E-096   9.9022E-103   6.9809E-110   2.8535E-117   6.7767E-125   9.3416E-133   7.4975E-141   3.4967E-149   9.5054E-158   1.5047E-166   1.3898E-175   7.4980E-185   2.3630E-194 
  1.256066231E+007   1.8442E-007   6.8228E+003   3.1375E+000   5.4130E+000   2.9838E+000   7.9462E-001   1.1178E-001   8.5977E-003   3.6786E-004   8.8414E-006   1.2011E-007   9.2603E-010   4.0644E-012   1.0178E-014   1.4567E-017   1.1932E-020   5.6013E-024   1.5084E-027   2.3320E-031   2.0717E-035   1.0584E-039   3.1119E-044   5.2690E-049   5.1511E-054   2.8997E-059   9.4178E-065   1.7668E-070   1.9131E-076   1.1992E-082   4.3441E-089   9.1215E-096   1.1081E-102   7.8118E-110   3.1931E-117   7.5833E-125   1.0453E-132   8.3899E-141   3.9129E-149   1.0637E-157   1.6838E-166   1.5552E-175   8.3904E-185   2.6442E-194 
  1.708620057E+007   2.8704E-007   1.6684E+004   4.4122E+000   7.6123E+000   4.1962E+000   1.1175E+000   1.5719E-001   1.2091E-002   5.1733E-004   1.2434E-005   1.6890E-007   1.3023E-009   5.7157E-012   1.4313E-014   2.0485E-017   1.6781E-020   7.8771E-024   2.1212E-027   3.2794E-031   2.9134E-035   1.4885E-039   4.3763E-044   7.4098E-049   7.2440E-054   4.0778E-059   1.3244E-064   2.4847E-070   2.6903E-076   1.6865E-082   6.1090E-089   1.2828E-095   1.5583E-102   1.0986E-109   4.4905E-117   1.0664E-124   1.4701E-132   1.1799E-140   5.5027E-149   1.4958E-157   2.3679E-166   2.1871E-175   1.1799E-184   3.7186E-194 
  2.431497474E+007   5.5373E-007   3.1842E+004   7.7412E+000   1.3356E+001   7.3622E+000   1.9606E+000   2.7579E-001   2.1213E-002   9.0765E-004   2.1815E-005   2.9634E-007   2.2848E-009   1.0028E-011   2.5112E-014   3.5941E-017   2.9442E-020   1.3820E-023   3.7216E-027   5.7538E-031   5.1116E-035   2.6115E-039   7.6782E-044   1.3000E-048   1.2710E-053   7.1545E-059   2.3237E-064   4.3594E-070   4.7202E-076   2.9590E-082   1.0718E-088   2.2506E-095   2.7340E-102   1.9275E-109   7.8786E-117   1.8711E-124   2.5792E-132   2.0701E-140   9.6544E-149   2.6245E-157   4.1544E-166   3.8373E-175   2.0702E-184   6.5242E-194 
  2.698824477E+007   6.8597E-007   3.3415E+004   8.2944E+000   1.4310E+001   7.8883E+000   2.1007E+000   2.9550E-001   2.2729E-002   9.7251E-004   2.3374E-005   3.1752E-007   2.4481E-009   1.0745E-011   2.6907E-014   3.8509E-017   3.1546E-020   1.4808E-023   3.9876E-027   6.1649E-031   5.4769E-035   2.7981E-039   8.2268E-044   1.3929E-048   1.3618E-053   7.6658E-059   2.4897E-064   4.6709E-070   5.0575E-076   3.1704E-082   1.1484E-088   2.4114E-095   2.9294E-102   2.0652E-109   8.4416E-117   2.0048E-124   2.7635E-132   2.2180E-140   1.0344E-148   2.8120E-157   4.4513E-166   4.1115E-175   2.2181E-184   6.9905E-194 
  2.699596932E+007   6.8636E-007   3.3415E+004   8.2944E+000   1.4310E+001   7.8883E+000   2.1007E+000   2.9550E-001   2.2729E-002   9.7251E-004   2.3374E-005   3.1752E-007   2.4481E-009   1.0745E-011   2.6907E-014   3.8509E-017   3.1546E-020   1.4808E-023   3.9876E-027   6.1649E-031   5.4769E-035   2.7981E-039   8.2268E-044   1.3930E-048   1.3618E-053   7.6658E-059   2.4897E-064   4.6709E-070   5.0575E-076   3.1704E-082   1.1484E-088   2.4114E-095   2.9294E-102   2.0652E-109   8.4416E-117   2.0048E-124   2.7635E-132   2.2180E-140   1.0344E-148   2.8120E-157   4.4513E-166   4.1115E-175   2.2181E-184   6.9905E-194 
  2.930484190E+007   8.0332E-007   3.3414E+004   8.2945E+000   1.4310E+001   7.8883E+000   2.1007E+000   2.9550E-001   2.2730E-002   9.7252E-004   2.3374E-005   3.1752E-007   2.4481E-009   1.0745E-011   2.6907E-014   3.8510E-017   3.1546E-020   1.4808E-023   3.9876E-027   6.1650E-031   5.4769E-035   2.7981E-039   8.2269E-044   1.3930E-048   1.3618E-053   7.6658E-059   2.4898E-064   4.6710E-070   5.0576E-076   3.1704E-082   1.1484E-088   2.4114E-095   2.9294E-102   2.0652E-109   8.4416E-117   2.0048E-124   2.7636E-132   2.2180E-140   1.0344E-148   2.8120E-157   4.4514E-166   4.1115E-175   2.2182E-184   6.9905E-194 
  3.892944018E+007   1.2909E-006   3.3413E+004   8.2948E+000   1.4311E+001   7.8886E+000   2.1008E+000   2.9551E-001   2.2730E-002   9.7255E-004   2.3375E-005   3.1753E-007   2.4482E-009   1.0745E-011   2.6908E-014   3.8511E-017   3.1547E-020   1.4809E-023   3.9878E-027   6.1652E-031   5.4771E-035   2.7982E-039   8.2272E-044   1.3930E-048   1.3618E-053   7.6661E-059   2.4899E-064   4.6711E-070   5.0577E-076   3.1705E-082   1.1485E-088   2.4115E-095   2.9295E-102   2.0653E-109   8.4419E-117   2.0049E-124   2.7637E-132   2.2181E-140   1.0345E-148   2.8121E-157   4.4515E-166   4.1116E-175   2.2182E-184   6.9908E-194 
  5.723026515E+007   2.2179E-006   3.3411E+004   8.2953E+000   1.4312E+001   7.8891E+000   2.1009E+000   2.9553E-001   2.2732E-002   9.7262E-004   2.3376E-005   3.1755E-007   2.4484E-009   1.0746E-011   2.6910E-014   3.8513E-017   3.1549E-020   1.4810E-023   3.9880E-027   6.1656E-031   5.4775E-035   2.7984E-039   8.2277E-044   1.3931E-048   1.3619E-053   7.6666E-059   2.4900E-064   4.6715E-070   5.0581E-076   3.1707E-082   1.1485E-088   2.4117E-095   2.9297E-102   2.0654E-109   8.4425E-117   2.0050E-124   2.7638E-132   2.2183E-140   1.0345E-148   2.8123E-157   4.4518E-166   4.1119E-175   2.2184E-184   6.9912E-194 
  9.645062676E+007   4.2050E-006   3.3407E+004   8.2965E+000   1.4314E+001   7.8902E+000   2.1012E+000   2.9557E-001   2.2735E-002   9.7275E-004   2.3380E-005   3.1760E-007   2.4487E-009   1.0748E-011   2.6913E-014   3.8519E-017   3.1553E-020   1.4812E-023   3.9886E-027   6.1665E-031   5.4783E-035   2.7988E-039   8.2289E-044   1.3933E-048   1.3621E-053   7.6677E-059   2.4904E-064   4.6721E-070   5.0588E-076   3.1712E-082   1.1487E-088   2.4120E-095   2.9301E-102   2.0657E-109   8.4437E-117   2.0053E-124   2.7642E-132   2.2186E-140   1.0347E-148   2.8127E-157   4.4524E-166   4.1125E-175   2.2187E-184   6.9922E-194 
