     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)         Vgrad 
  5.435724653E+010   6.8901E-004   6.8901E-004   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.5692E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8325E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   2.3818E-025   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5492E-014 
  1.183174470E+011   1.4997E-003   1.4997E-003   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.4923E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   5.1632E-025   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5204E-014 
  1.822776475E+011   2.3105E-003   2.3105E-003   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.4202E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8326E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   7.9438E-025   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.4920E-014 
  2.528230723E+011   3.2047E-003   3.2047E-003   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.3429E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   1.1124E-024   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.4625E-014 
  8.718969684E+011   1.1052E-002   1.1052E-002   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   2.8611E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   3.7127E-024   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.2234E-014 
  2.135810101E+012   2.7072E-002   2.7072E-002   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   2.3113E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1715E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   8.8871E-024   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   3.8538E-014 
  8.140915764E+012   1.0319E-001   1.0319E-001   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   1.4655E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1715E-023   1.1071E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   3.1046E-023   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   2.6337E-014 
  3.361321611E+013   4.2606E-001   4.2606E-001   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.9999E+000   9.9999E+000   9.9999E+000   2.4173E+004   8.9689E+005   2.3653E-019   4.2518E-025   5.5834E-024   6.0066E+004   5.2034E-003   5.0431E-003   3.9379E-024   8.1712E-023   1.1071E-021  -2.8323E-017  -2.8323E-017   8.4055E+001   4.5816E-006   1.9909E-021   9.2920E-023   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0943E-010   6.0009E+004   5.2034E-003   5.0431E-003   1.1561E-014 
  1.232722470E+014   1.5625E+000   1.5625E+000   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.9998E+000   9.9998E+000   9.9998E+000   2.4173E+004   6.8687E+005   2.3653E-019   4.2516E-025   5.5835E-024   6.0066E+004   5.2034E-003   5.0434E-003   3.9379E-024   8.1708E-023   1.1071E-021  -2.8323E-017  -2.8323E-017   8.4055E+001   4.5816E-006   1.9909E-021   1.6266E-022   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0947E-010   6.0009E+004   5.2034E-003   5.0434E-003   3.9392E-015 
  6.900748874E+014   8.7471E+000   8.7471E+000   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.9986E+000   9.9986E+000   9.9986E+000   2.4172E+004   6.4466E+005   2.3653E-019   4.2517E-025   5.5837E-024   6.0066E+004   5.2036E-003   5.0436E-003   3.9379E-024   8.1707E-023   1.1071E-021  -2.8305E-017  -2.8305E-017   8.4055E+001   4.5816E-006   1.9909E-021   1.8548E-022   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0515E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0950E-010   6.0009E+004   5.2036E-003   5.0436E-003   7.5437E-016 
