     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)         W(CO)         G(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)       W(oH2O)       G(oH2O)       W(pH2O)       G(pH2O)       W(oNH3)       G(oNH3)       W(pNH3)       G(pNH3)         W(OH)         G(OH)      W(atype)      G(atype)      W(etype)      G(etype)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+)       E(H+H2) 
  1.069979916E+007   1.5074E-007   4.0228E+003   9.1713E-023   2.3721E-019   9.1463E-022   1.1399E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.9279E-020  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   7.3713E-025   1.4967E-031   1.2258E-023   2.9760E-030   6.4498E-019   2.1457E-027   7.3597E-031   3.0657E-022   4.9350E-031 
  1.256066231E+007   1.8442E-007   6.8228E+003   1.1306E-021   5.0404E-019   2.1066E-021   2.4308E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.2635E-019  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   8.2968E-025   1.8742E-031   1.3753E-023   3.5725E-030   8.5241E-019   1.8153E-026   2.4437E-030   4.0996E-022   1.1384E-025 
  1.708620057E+007   2.8704E-007   1.6684E+004   6.3823E-020   2.4386E-018   4.6580E-020   1.1799E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   6.1288E-019  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.1773E-024   3.3723E-031   1.9457E-023   5.6642E-030   1.5495E-018   1.5768E-025   1.7884E-029   8.1015E-022   9.0639E-021 
  2.431497474E+007   5.5373E-007   3.1842E+004   2.0186E-018   1.4329E-017   8.7990E-018   6.9785E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.6438E-018  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.0822E-024   8.0341E-031   3.4372E-023   1.0945E-029   3.0348E-018   6.4902E-025   7.7169E-029   2.2021E-021   1.2839E-018 
  2.698824477E+007   6.8597E-007   3.3415E+004   3.9232E-018   1.7263E-017   2.1549E-017   8.4553E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.5344E-018  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2325E-024   8.8828E-031   3.6677E-023   1.1819E-029   3.0979E-018   7.4771E-025   8.9583E-029   2.5032E-021   1.8257E-018 
  2.699596932E+007   6.8636E-007   3.3415E+004   3.9286E-018   1.7263E-017   2.1582E-017   8.4555E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.5350E-018  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2325E-024   8.8828E-031   3.6676E-023   1.1819E-029   3.0973E-018   7.4771E-025   8.9583E-029   2.5033E-021   1.8257E-018 
  2.930484190E+007   8.0332E-007   3.3414E+004   5.5588E-018   1.7263E-017   3.1255E-017   8.5013E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.7566E-018  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2323E-024   8.8823E-031   3.6460E-023   1.1821E-029   2.9278E-018   7.4769E-025   8.9536E-029   2.5291E-021   1.8258E-018 
  3.892944018E+007   1.2909E-006   3.3413E+004   1.2429E-017   1.7264E-017   6.5289E-017   8.7136E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   6.4676E-018  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2315E-024   8.8802E-031   3.5574E-023   1.1835E-029   2.3157E-018   7.4762E-025   8.9342E-029   2.6346E-021   1.8264E-018 
  5.723026515E+007   2.2179E-006   3.3411E+004   2.5823E-017   1.7266E-017   1.0812E-016   9.3021E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.2348E-017  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2299E-024   8.8764E-031   3.3947E-023   1.1890E-029   1.4825E-018   7.4750E-025   8.8976E-029   2.8270E-021   1.8276E-018 
  9.645062676E+007   4.2050E-006   3.3407E+004   5.5900E-017   1.7270E-017   1.4313E-016   1.2191E-021   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.0826E-017  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2266E-024   8.8688E-031   3.0710E-023   1.2137E-029   5.7015E-019   7.4729E-025   8.8203E-029   3.2172E-021   1.8302E-018 
