     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)         W(CO)         G(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)       W(oH2O)       G(oH2O)       W(pH2O)       G(pH2O)       W(oNH3)       G(oNH3)       W(pNH3)       G(pNH3)         W(OH)         G(OH)      W(atype)      G(atype)      W(etype)      G(etype)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+)       E(H+H2) 
  1.931668970E+011   1.3739E-002   1.3716E+004   4.2791E-014   1.7228E-017   2.8618E-015   3.7828E-021   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   6.8899E-018  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.4016E-023   2.7876E-024   4.8482E-020   6.5235E-024   5.3074E-017   1.4743E-022   5.7593E-027   9.9303E-019   6.9893E-018 
  2.529834143E+011   1.8458E-002   1.3236E+004   1.4616E-014   1.4485E-017   1.1305E-015   1.7348E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   8.8431E-019  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.6674E-023   5.5704E-024   5.4105E-020   6.6053E-024   6.2470E-017   1.5040E-022   2.2688E-027   9.9294E-019   5.4555E-018 
  3.414931496E+011   2.5492E-002   1.3042E+004   3.0506E-015   1.1226E-017   2.6751E-016   5.1775E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.7583E-020  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.9573E-023   1.0814E-023   5.9988E-020   6.6407E-024   6.9917E-017   1.5101E-022   2.3658E-027   9.9461E-019   4.9169E-018 
  4.166800967E+011   3.1480E-002   1.3004E+004   8.1286E-016   9.0454E-018   7.9468E-017   4.9262E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   8.3974E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.1885E-023   1.6230E-023   6.3794E-020   6.6483E-024   7.3915E-017   1.5087E-022   3.0638E-027   9.9724E-019   4.8277E-018 
  5.524792842E+011   4.2301E-002   1.2991E+004   7.6502E-017   6.1293E-018   1.1748E-017   4.8655E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.0825E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.6168E-023   2.8217E-023   6.8900E-020   6.6519E-024   7.8859E-017   1.5029E-022   4.7582E-027   1.0026E-018   4.8183E-018 
  6.970246516E+011   5.3822E-002   1.2989E+004   7.5300E-018   4.0578E-018   3.7085E-018   4.8507E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.0325E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   4.0913E-023   4.4132E-023   7.2609E-020   6.6538E-024   8.2322E-017   1.4954E-022   6.8040E-027   1.0086E-018   4.8410E-018 
  7.646357559E+011   5.9211E-002   1.2989E+004   3.2485E-018   3.3488E-018   2.7827E-018   4.8456E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.0295E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   4.3176E-023   5.2711E-023   7.3912E-020   6.6547E-024   8.3520E-017   1.4917E-022   7.8052E-027   1.0115E-018   4.8530E-018 
  8.102750180E+011   6.2849E-002   1.2988E+004   2.1383E-018   2.9428E-018   2.3842E-018   4.8423E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.0279E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   4.4714E-023   5.8915E-023   7.4671E-020   6.6555E-024   8.4211E-017   1.4892E-022   8.4931E-027   1.0134E-018   4.8612E-018 
  1.000760913E+012   7.8034E-002   1.2987E+004   9.7567E-019   1.7235E-018   1.4036E-018   4.8287E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.0219E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   5.1176E-023   8.8453E-023   7.7048E-020   6.6590E-024   8.6336E-017   1.4782E-022   1.1451E-026   1.0215E-018   4.8959E-018 
  1.322349213E+012   1.0367E-001   1.2986E+004   6.1976E-019   7.1773E-019   6.5504E-019   4.8060E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.0121E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   6.2043E-023   1.5198E-022   7.9307E-020   6.6676E-024   8.8236E-017   1.4592E-022   1.6692E-026   1.0355E-018   4.9552E-018 
  1.596013674E+012   1.2549E-001   1.2984E+004   5.0208E-019   3.5852E-019   3.8842E-019   4.7869E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.0039E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   7.1100E-023   2.1997E-022   8.0402E-020   6.6780E-024   8.9057E-017   1.4432E-022   2.1345E-026   1.0478E-018   5.0065E-018 
  1.770752272E+012   1.3943E-001   1.2983E+004   4.6306E-019   2.4008E-019   3.0046E-019   4.7747E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.9987E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   7.6759E-023   2.7030E-022   8.0916E-020   6.6863E-024   8.9403E-017   1.4332E-022   2.4397E-026   1.0557E-018   5.0396E-018 
  1.841043405E+012   1.4503E-001   1.2983E+004   4.5205E-019   2.0687E-019   2.7579E-019   4.7698E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.9966E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   7.9005E-023   2.9209E-022   8.1099E-020   6.6901E-024   8.9518E-017   1.4292E-022   2.5641E-026   1.0590E-018   5.0530E-018 
  1.888530761E+012   1.4882E-001   1.2983E+004   4.4576E-019   1.8794E-019   2.6172E-019   4.7665E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.9951E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   8.0513E-023   3.0732E-022   8.1217E-020   6.6928E-024   8.9591E-017   1.4265E-022   2.6487E-026   1.0612E-018   5.0620E-018 
  1.932171374E+012   1.5230E-001   1.2982E+004   4.4066E-019   1.7267E-019   2.5038E-019   4.7635E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.9938E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   8.1892E-023   3.2168E-022   8.1322E-020   6.6954E-024   8.9654E-017   1.4241E-022   2.7269E-026   1.0632E-018   5.0704E-018 
  2.019419058E+012   1.5926E-001   1.2982E+004   4.3216E-019   1.4733E-019   2.3153E-019   4.7574E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.9912E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   8.4629E-023   3.5144E-022   8.1523E-020   6.7009E-024   8.9772E-017   1.4192E-022   2.8841E-026   1.0673E-018   5.0871E-018 
  2.400785308E+012   1.8968E-001   1.2980E+004   4.1167E-019   8.7843E-020   1.8724E-019   4.7311E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.9799E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   9.6271E-023   4.9827E-022   8.2322E-020   6.7303E-024   9.0206E-017   1.3985E-022   3.5883E-026   1.0855E-018   5.1610E-018 
  3.678238029E+012   2.9162E-001   1.2973E+004   3.9763E-019   5.6644E-020   1.6355E-019   4.6443E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.9425E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.3160E-022   1.2006E-021   8.4783E-020   6.9101E-024   9.1374E-017   1.3361E-022   6.1473E-026   1.1507E-018   5.4179E-018 
  5.802039072E+012   4.6124E-001   1.2962E+004   3.8984E-019   5.1768E-020   1.5905E-019   4.5046E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.8819E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.7937E-022   3.1725E-021   8.9059E-020   7.6312E-024   9.3198E-017   1.2545E-022   1.1136E-025   1.2735E-018   5.8771E-018 
  1.113278928E+013   8.8779E-001   1.2934E+004   3.7283E-019   4.3047E-020   1.5048E-019   4.1775E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.7381E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.5544E-022   1.3611E-020   1.0140E-019   1.3989E-023   9.7555E-017   1.1516E-022   2.8512E-025   1.6637E-018   7.2176E-018 
  2.004456431E+013   1.6035E+000   1.2885E+004   3.4946E-019   3.2352E-020   1.3943E-019   3.6955E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.5199E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.0671E-022   5.4771E-020   1.2803E-019   5.6730E-023   1.0428E-016   1.2226E-022   7.8696E-025   2.6029E-018   1.0115E-017 
  2.245058906E+013   1.7973E+000   1.2872E+004   3.4403E-019   3.0126E-020   1.3702E-019   3.5775E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.4651E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.1275E-022   7.2322E-020   1.3670E-019   7.9994E-023   1.0599E-016   1.2820E-022   9.8180E-025   2.9247E-018   1.1051E-017 
  2.485661380E+013   1.9913E+000   1.2859E+004   3.3893E-019   2.8139E-020   1.3481E-019   3.4640E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.4118E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.1719E-022   9.3097E-020   1.4608E-019   1.1031E-022   1.0768E-016   1.3562E-022   1.2074E-024   3.2783E-018   1.2056E-017 
  2.673989793E+013   2.1434E+000   1.2848E+004   3.3515E-019   2.6738E-020   1.3322E-019   3.3783E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.3712E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.1991E-022   1.1178E-019   1.5395E-019   1.3976E-022   1.0898E-016   1.4240E-022   1.4075E-024   3.5781E-018   1.2893E-017 
  2.793414326E+013   2.2399E+000   1.2841E+004   3.3284E-019   2.5917E-020   1.3226E-019   3.3252E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.3459E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.2140E-022   1.2479E-019   1.5918E-019   1.6138E-022   1.0979E-016   1.4714E-022   1.5460E-024   3.7791E-018   1.3448E-017 
  2.866338150E+013   2.2988E+000   1.2837E+004   3.3147E-019   2.5439E-020   1.3170E-019   3.2933E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.3306E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.2224E-022   1.3320E-019   1.6247E-019   1.7578E-022   1.1028E-016   1.5020E-022   1.6351E-024   3.9061E-018   1.3796E-017 
  2.925507211E+013   2.3467E+000   1.2834E+004   3.3037E-019   2.5066E-020   1.3126E-019   3.2677E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.3183E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.2290E-022   1.4028E-019   1.6520E-019   1.8818E-022   1.1068E-016   1.5278E-022   1.7101E-024   4.0115E-018   1.4083E-017 
  3.331270454E+013   2.6752E+000   1.2811E+004   3.2326E-019   2.2809E-020   1.2850E-019   3.0983E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.2360E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.2709E-022   1.9557E-019   1.8531E-019   2.9215E-022   1.1338E-016   1.7267E-022   2.2929E-024   4.7941E-018   1.6185E-017 
  4.069661713E+013   3.2751E+000   1.2768E+004   3.1202E-019   1.9944E-020   1.2459E-019   2.8160E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.0949E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.3574E-022   3.2962E-019   2.2883E-019   5.8668E-022   1.1815E-016   2.1947E-022   3.7075E-024   6.5035E-018   2.0626E-017 
  5.673509381E+013   4.5866E+000   1.2670E+004   2.9368E-019   1.8236E-020   1.2019E-019   2.2991E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.8211E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.7297E-022   8.0521E-019   3.6124E-019   1.9452E-021   1.2820E-016   3.8294E-022   8.8836E-024   1.1632E-017   3.3374E-017 
  7.051370447E+013   5.7235E+000   1.2582E+004   2.8302E-019   2.0615E-020   1.1995E-019   1.9395E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.6151E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   4.3258E-022   1.4670E-018   5.2774E-019   4.3605E-021   1.3688E-016   6.3045E-022   1.6478E-023   1.7665E-017   4.8082E-017 
  8.173550016E+013   6.6568E+000   1.2506E+004   2.7692E-019   2.4417E-020   1.2151E-019   1.6923E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.4638E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   4.9850E-022   2.2098E-018   7.0795E-019   7.5970E-021   1.4417E-016   9.4534E-022   2.5445E-023   2.3543E-017   6.2671E-017 
  9.040048087E+013   7.3823E+000   1.2444E+004   2.7338E-019   2.8011E-020   1.2337E-019   1.5250E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.3556E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   5.5605E-022   2.9150E-018   8.7814E-019   1.1103E-020   1.5002E-016   1.2765E-021   3.4336E-023   2.8460E-017   7.5377E-017 
  1.024381012E+014   8.3976E+000   1.2354E+004   2.6956E-019   3.3073E-020   1.2620E-019   1.3214E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.2166E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   6.3685E-022   4.0733E-018   1.1622E-018   1.7714E-020   1.5846E-016   1.8702E-021   4.9710E-023   3.5367E-017   9.4599E-017 
  1.313060057E+014   1.0871E+001   1.2118E+004   2.6185E-019   3.8205E-020   1.2859E-019   9.4175E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.9280E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   7.7645E-022   7.3603E-018   2.0485E-018   4.2729E-020   1.7952E-016   3.6747E-021   9.9477E-023   4.8514E-017   1.4168E-016 
  1.643209682E+014   1.3777E+001   1.1816E+004   2.5278E-019   2.5042E-020   1.1938E-019   6.4158E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.6581E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   8.2544E-022   1.0599E-017   3.1846E-018   8.1989E-020   2.0158E-016   5.4457E-021   1.6532E-022   5.4158E-017   1.7715E-016 
  1.973359307E+014   1.6776E+001   1.1492E+004   2.5047E-019   1.0055E-020   1.1118E-019   4.3574E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.4333E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   8.0815E-022   1.2230E-017   4.0000E-018   1.1616E-019   2.1906E-016   6.4036E-021   2.1664E-022   5.5086E-017   1.7667E-016 
  2.261562617E+014   1.9479E+001   1.1201E+004   2.5594E-019   4.7515E-021   1.1077E-019   3.0857E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.2629E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   7.4756E-022   1.2861E-017   4.2461E-018   1.3541E-019   2.3190E-016   6.4414E-021   2.3791E-022   5.5219E-017   1.5168E-016 
  2.780754170E+014   2.4563E+001   1.0675E+004   2.7827E-019   2.2092E-021   1.1840E-019   1.6201E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.9956E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   5.8673E-022   1.3573E-017   3.7574E-018   1.6447E-019   2.5252E-016   5.0395E-021   2.2337E-022   5.4974E-017   8.8786E-017 
  3.403794556E+014   3.1064E+001   1.0040E+004   3.2764E-019   1.3061E-021   1.3820E-019   7.4557E-025   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.7128E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   4.0148E-022   1.4109E-017   2.5640E-018   2.3243E-019   2.7515E-016   2.7549E-021   1.6228E-022   5.3849E-017   3.4465E-017 
  4.026834942E+014   3.8062E+001   9.3815E+003   4.1777E-019   9.9133E-022   1.7699E-019   4.1982E-025   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.4405E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.5767E-022   1.4130E-017   1.6060E-018   3.7008E-019   2.9686E-016   1.2227E-021   1.0617E-022   5.1350E-017   1.0954E-017 
  4.470223930E+014   4.3400E+001   8.8884E+003   5.2781E-019   9.0559E-022   2.2736E-019   3.8032E-025   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.2387E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.7457E-022   1.3729E-017   1.1838E-018   5.2556E-019   3.1228E-016   6.3129E-022   7.9245E-023   4.8225E-017   4.5090E-018 
