     Distance         timeN            Tn            nH          n(H)         n(H2)         n(C+)          n(C)         n(CO)          n(O)         n(OH)        n(H2O)          N(H)         N(H2)         N(C+)          N(C)         N(CO)          N(O)         N(OH)        N(H2O)      C+(158m)     C(609.8m)     C(370.4m)      O(63.2m)     O(145.3m) 
  3.361E+013   4.261E-001   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   1.733E+013   1.681E+018   9.845E+008   3.506E+011   2.768E+014   3.617E+013   1.210E+010   7.745E+011   4.483E-016   1.557E-012   2.879E-013   2.225E-017   2.277E-022 
  1.233E+014   1.563E+000   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   6.355E+013   6.164E+018   3.611E+009   1.286E+012   1.015E+015   1.326E+014   4.438E+010   2.840E+012   1.644E-015   5.710E-012   1.056E-012   8.157E-017   8.349E-022 
  6.901E+014   8.747E+000   9.999E+000   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   3.557E+014   3.450E+019   2.021E+010   7.197E+012   5.683E+015   7.425E+014   2.484E+011   1.590E+013   9.198E-015   3.196E-011   5.909E-012   4.560E-016   4.665E-021 
  1.632E+015   2.068E+001   9.997E+000   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.305E-002   8.412E+014   8.159E+019   4.780E+010   1.702E+013   1.344E+016   1.756E+015   5.875E+011   3.760E+013   2.173E-014   7.556E-011   1.396E-011   1.076E-015   1.100E-020 
  2.574E+015   3.262E+001   9.995E+000   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.305E-002   1.327E+015   1.287E+020   7.538E+010   2.684E+013   2.120E+016   2.769E+015   9.265E+011   5.931E+013   3.424E-014   1.191E-010   2.201E-011   1.693E-015   1.729E-020 
  3.838E+015   4.864E+001   9.992E+000   1.000E+005   5.155E-001   5.000E+004   2.928E-005   1.043E-002   8.236E+000   1.076E+000   3.601E-004   2.306E-002   1.978E+015   1.919E+020   1.124E+011   4.003E+013   3.161E+016   4.129E+015   1.382E+012   8.846E+013   5.100E-014   1.776E-010   3.280E-011   2.518E-015   2.567E-020 
  2.348E+016   2.976E+002   9.953E+000   1.000E+005   5.156E-001   5.000E+004   2.924E-005   1.043E-002   8.236E+000   1.076E+000   3.605E-004   2.316E-002   1.210E+016   1.174E+021   6.871E+011   2.449E+014   1.934E+017   2.526E+016   8.459E+012   5.424E+014   3.063E-013   1.083E-009   1.985E-010   1.473E-014   1.474E-019 
  9.117E+016   1.156E+003   9.826E+000   1.000E+005   5.169E-001   5.000E+004   2.909E-005   1.042E-002   8.236E+000   1.076E+000   3.604E-004   2.350E-002   4.704E+016   4.558E+021   2.661E+012   9.506E+014   7.509E+017   9.809E+016   3.286E+013   2.122E+015   1.118E-012   4.153E-009   7.420E-010   4.938E-014   4.664E-019 
  1.648E+017   2.089E+003   9.699E+000   1.000E+005   5.191E-001   5.000E+004   2.894E-005   1.039E-002   8.236E+000   1.076E+000   3.598E-004   2.383E-002   8.517E+016   8.239E+021   4.797E+012   1.717E+015   1.357E+018   1.773E+017   5.937E+013   3.864E+015   1.896E-012   7.407E-009   1.289E-009   7.717E-014   6.913E-019 
  2.384E+017   3.022E+003   9.583E+000   1.000E+005   5.218E-001   5.000E+004   2.880E-005   1.036E-002   8.236E+000   1.076E+000   3.593E-004   2.415E-002   1.235E+017   1.192E+022   6.922E+012   2.481E+015   1.963E+018   2.565E+017   8.584E+013   5.630E+015   2.585E-012   1.058E-008   1.796E-009   9.778E-014   8.382E-019 
  7.887E+017   9.997E+003   8.977E+000   1.000E+005   5.394E-001   5.000E+004   2.798E-005   9.912E-003   8.237E+000   1.074E+000   3.561E-004   2.583E-002   4.158E+017   3.944E+022   2.253E+013   8.067E+015   6.496E+018   8.479E+017   2.826E+014   1.943E+016   6.020E-012   3.192E-008   4.690E-009   1.594E-013   1.156E-018 
  2.871E+018   3.639E+004   8.368E+000   1.000E+005   5.605E-001   5.000E+004   2.691E-005   8.415E-003   8.242E+000   1.068E+000   3.511E-004   2.761E-002   1.568E+018   1.435E+023   7.936E+013   2.695E+016   2.365E+019   3.076E+018   1.018E+015   7.573E+016   1.173E-011   9.302E-008   1.064E-008   1.922E-013   1.232E-018 
  5.576E+018   7.067E+004   8.306E+000   1.000E+005   5.633E-001   5.000E+004   2.666E-005   7.734E-003   8.248E+000   1.069E+000   3.493E-004   2.782E-002   3.089E+018   2.788E+023   1.517E+014   4.860E+016   4.595E+019   5.964E+018   1.964E+015   1.508E+017   1.698E-011   1.585E-007   1.618E-008   2.092E-013   1.257E-018 
  1.547E+019   1.961E+005   8.294E+000   1.000E+005   5.675E-001   5.000E+004   2.633E-005   7.124E-003   8.265E+000   1.103E+000   3.488E-004   2.861E-002   8.683E+018   7.735E+023   4.138E+014   1.216E+017   1.276E+020   1.669E+019   5.413E+015   4.295E+017   3.536E-011   3.774E-007   3.443E-008   2.673E-013   1.337E-018 
