     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_cons 
  1.478766991E+008   6.8108E-006   3.3402E+004   5.9135E-013  -2.7149E-014   3.6979E-007   1.1075E-006   6.3596E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1562E-001   1.7314E+000   2.7141E-003   7.9536E-004   0.0000E+000   1.8506E+000   3.1342E-004 
  1.836939863E+008   8.6260E-006   3.3398E+004   5.9135E-013  -1.3660E-014   3.6974E-007   1.1076E-006   6.3612E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1559E-001   1.7313E+000   2.8580E-003   7.9547E-004   0.0000E+000   1.8505E+000   3.1342E-004 
  2.602677954E+008   1.2507E-005   3.3390E+004   5.9135E-013  -2.1685E-014   3.6964E-007   1.1077E-006   6.3648E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1552E-001   1.7310E+000   3.1678E-003   7.9569E-004   0.0000E+000   1.8505E+000   3.1343E-004 
  4.717893789E+008   2.3235E-005   3.3367E+004   5.9135E-013  -2.1856E-014   3.6935E-007   1.1080E-006   6.3746E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1535E-001   1.7301E+000   4.0373E-003   7.9630E-004   0.0000E+000   1.8503E+000   3.1344E-004 
  7.756203642E+008   3.8659E-005   3.3333E+004   5.9135E-013  -1.7587E-014   3.6893E-007   1.1084E-006   6.3891E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1508E-001   1.7288E+000   5.3186E-003   7.9721E-004   0.0000E+000   1.8500E+000   3.1346E-004 
  1.362008401E+009   6.8477E-005   3.3266E+004   5.9135E-013  -3.5516E-014   3.6809E-007   1.1092E-006   6.4182E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1456E-001   1.7261E+000   7.8880E-003   7.9902E-004   0.0000E+000   1.8494E+000   3.1346E-004 
  2.468838384E+009   1.2495E-004   3.3134E+004   5.9135E-013  -4.7298E-014   3.6644E-007   1.1109E-006   6.4764E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1353E-001   1.7209E+000   1.3027E-002   8.0263E-004   0.0000E+000   1.8483E+000   3.1348E-004 
  3.671989515E+009   1.8664E-004   3.2984E+004   5.9135E-013  -4.8835E-014   3.6454E-007   1.1128E-006   6.5438E-010   0.0000E+000   1.4780E-006   4.5934E-004   1.1236E-001   1.7149E+000   1.8957E-002   8.0680E-004   0.0000E+000   1.8471E+000   3.1347E-004 
  7.375119935E+009   3.7863E-004   3.2486E+004   5.9135E-013  -3.0906E-014   3.5826E-007   1.1190E-006   6.7753E-010   0.0000E+000   1.4780E-006   4.5935E-004   1.0852E-001   1.6949E+000   3.8895E-002   8.2095E-004   0.0000E+000   1.8431E+000   3.1358E-004 
  1.485303951E+010   7.7767E-004   3.1316E+004   5.9135E-013   4.5352E-013   3.4378E-007   1.1335E-006   7.3583E-010   0.0000E+000   1.4780E-006   4.5936E-004   9.9926E-002   1.6473E+000   8.5864E-002   8.5554E-004   0.0000E+000   1.8340E+000   3.1371E-004 
  2.097226566E+010   1.1179E-003   3.0188E+004   5.9135E-013   1.5129E-013   3.3027E-007   1.1469E-006   7.9727E-010   0.0000E+000   1.4780E-006   4.5938E-004   9.2225E-002   1.6014E+000   1.3052E-001   8.9054E-004   0.0000E+000   1.8250E+000   3.1349E-004 
  2.586395657E+010   1.4004E-003   2.9183E+004   5.9135E-013   2.5900E-011   3.1870E-007   1.1584E-006   8.5618E-010   0.0000E+000   1.4780E-006   4.5939E-004   8.5880E-002   1.5608E+000   1.6898E-001   9.2285E-004   0.0000E+000   1.8166E+000   3.1349E-004 
  4.247073082E+010   2.4414E-003   2.5459E+004   5.9135E-013  -6.7791E-010   2.8155E-007   1.1953E-006   1.0970E-009   0.0000E+000   1.4780E-006   4.5925E-004   6.7027E-002   1.4228E+000   2.8541E-001   1.0446E-003   0.0000E+000   1.7763E+000   3.0788E-004 
  5.423624118E+010   3.2498E-003   2.3139E+004   5.9135E-013  -2.8060E-010   2.6599E-007   1.2108E-006   1.2291E-009   0.0000E+000   1.4780E-006   4.5933E-004   5.9822E-002   1.3615E+000   3.1175E-001   1.1057E-003   0.0000E+000   1.7342E+000   3.0925E-004 
  6.292441705E+010   3.8686E-003   2.1741E+004   5.9135E-013  -3.0420E-010   2.6088E-007   1.2158E-006   1.2778E-009   0.0000E+000   1.4780E-006   4.5933E-004   5.7544E-002   1.3409E+000   2.9713E-001   1.1274E-003   0.0000E+000   1.6967E+000   3.1026E-004 
